♠8,♣4,♥9,♣J,♠J | Pair
♠3,♣6,♠Q,♦6,♣10 | Pair
♠3,♣6,♠Q,♠5,♣3 | Pair
♠3,♣6,♠Q,♣3,♠J | Pair
♠3,♣6,♠Q,♣3,♣10 | Pair
♠3,♣6,♦6,♠5,♣3 | Two Pairs
♠3,♣6,♦6,♠5,♠J | Pair
♠3,♣6,♦6,♠5,♣10 | Pair
♠3,♣6,♦6,♣3,♠J | Two Pairs
♠3,♣6,♦6,♣3,♣10 | Two Pairs
♠3,♣6,♦6,♠J,♣10 | Pair
♠3,♣6,♠5,♣3,♠J | Pair
♠3,♣6,♠5,♣3,♣10 | Pair
♠3,♣6,♣3,♠J,♣10 | Pair
♠3,♠Q,♦6,♠5,♣3 | Pair
♠3,♠Q,♦6,♣3,♠J | Pair
♠3,♠Q,♦6,♣3,♣10 | Pair
♠3,♠Q,♠5,♣3,♠J | Pair
♠3,♠Q,♠5,♣3,♣10 | Pair
♠3,♠Q,♣3,♠J,♣10 | Pair
♠3,♦6,♠5,♣3,♠J | Pair
♠3,♦6,♠5,♣3,♣10 | Pair
♠3,♦6,♣3,♠J,♣10 | Pair
♠3,♠5,♣3,♠J,♣10 | Pair
♦10,♣6,♠Q,♦6,♠5 | Pair
♦10,♣6,♠Q,♦6,♣3 | Pair
♦10,♣6,♠Q,♦6,♠J | Pair
♦10,♣6,♠Q,♦6,♣10 | Two Pairs
♦10,♣6,♠Q,♠5,♣10 | Pair
♦10,♣6,♠Q,♣3,♣10 | Pair
♦10,♣6,♠Q,♠J,♣10 | Pair
♦10,♣6,♦6,♠5,♣3 | Pair
♦10,♣6,♦6,♠5,♠J | Pair
♦10,♣6,♦6,♠5,♣10 | Two Pairs
♦10,♣6,♦6,♣3,♠J | Pair
♦10,♣6,♦6,♣3,♣10 | Two Pairs
♦10,♣6,♦6,♠J,♣10 | Two Pairs
♦10,♣6,♠5,♣3,♣10 | Pair
♦10,♣6,♠5,♠J,♣10 | Pair
♦10,♣6,♣3,♠J,♣10 | Pair
♦10,♠Q,♦6,♠5,♣10 | Pair
♦10,♠Q,♦6,♣3,♣10 | Pair
♦10,♠Q,♦6,♠J,♣10 | Pair
♦10,♠Q,♠5,♣3,♣10 | Pair
♦10,♠Q,♠5,♠J,♣10 | Pair
♦10,♠Q,♣3,♠J,♣10 | Pair
♦10,♦6,♠5,♣3,♣10 | Pair
♦10,♦6,♠5,♠J,♣10 | Pair
♦10,♦6,♣3,♠J,♣10 | Pair
♦10,♠5,♣3,♠J,♣10 | Pair
♣6,♠Q,♦6,♠5,♣3 | Pair
♣6,♠Q,♦6,♠5,♠J | Pair
♣6,♠Q,♦6,♠5,♣10 | Pair
♣6,♠Q,♦6,♣3,♠J | Pair
♣6,♠Q,♦6,♣3,♣10 | Pair
♣6,♠Q,♦6,♠J,♣10 | Pair
♣6,♦6,♠5,♣3,♠J | Pair
♣6,♦6,♠5,♣3,♣10 | Pair
♣6,♦6,♠5,♠J,♣10 | Pair
♣6,♦6,♣3,♠J,♣10 | Pair
