♦K,♥8,♥5,♣7,♠7 | Pair
♣7,♦9,♠2,♥2,♦5 | Pair
♣7,♦9,♠2,♠7,♦5 | Pair
♣7,♦9,♥2,♠7,♦5 | Pair
♣7,♠2,♥2,♠7,♦5 | Two Pairs
♥4,♦4,♥10,♦6,♦9 | Pair
♥4,♦4,♥10,♦6,♠2 | Pair
♥4,♦4,♥10,♦6,♥2 | Pair
♥4,♦4,♥10,♦6,♠7 | Pair
♥4,♦4,♥10,♦6,♦5 | Pair
♥4,♦4,♥10,♦9,♠2 | Pair
♥4,♦4,♥10,♦9,♥2 | Pair
♥4,♦4,♥10,♦9,♠7 | Pair
♥4,♦4,♥10,♦9,♦5 | Pair
♥4,♦4,♥10,♠2,♥2 | Two Pairs
♥4,♦4,♥10,♠2,♠7 | Pair
♥4,♦4,♥10,♠2,♦5 | Pair
♥4,♦4,♥10,♥2,♠7 | Pair
♥4,♦4,♥10,♥2,♦5 | Pair
♥4,♦4,♥10,♠7,♦5 | Pair
♥4,♦4,♦6,♦9,♠2 | Pair
♥4,♦4,♦6,♦9,♥2 | Pair
♥4,♦4,♦6,♦9,♠7 | Pair
♥4,♦4,♦6,♦9,♦5 | Pair
♥4,♦4,♦6,♠2,♥2 | Two Pairs
♥4,♦4,♦6,♠2,♠7 | Pair
♥4,♦4,♦6,♠2,♦5 | Pair
♥4,♦4,♦6,♥2,♠7 | Pair
♥4,♦4,♦6,♥2,♦5 | Pair
♥4,♦4,♦6,♠7,♦5 | Pair
♥4,♦4,♦9,♠2,♥2 | Two Pairs
♥4,♦4,♦9,♠2,♠7 | Pair
♥4,♦4,♦9,♠2,♦5 | Pair
♥4,♦4,♦9,♥2,♠7 | Pair
♥4,♦4,♦9,♥2,♦5 | Pair
♥4,♦4,♦9,♠7,♦5 | Pair
♥4,♦4,♠2,♥2,♠7 | Two Pairs
♥4,♦4,♠2,♥2,♦5 | Two Pairs
♥4,♦4,♠2,♠7,♦5 | Pair
♥4,♦4,♥2,♠7,♦5 | Pair
♥4,♥10,♦6,♠2,♥2 | Pair
♥4,♥10,♦9,♠2,♥2 | Pair
♥4,♥10,♠2,♥2,♠7 | Pair
♥4,♥10,♠2,♥2,♦5 | Pair
♥4,♦6,♦9,♠2,♥2 | Pair
♥4,♦6,♠2,♥2,♠7 | Pair
♥4,♦6,♠2,♥2,♦5 | Pair
♥4,♦9,♠2,♥2,♠7 | Pair
♥4,♦9,♠2,♥2,♦5 | Pair
♥4,♠2,♥2,♠7,♦5 | Pair
♦4,♥10,♦6,♠2,♥2 | Pair
♦4,♥10,♦9,♠2,♥2 | Pair
♦4,♥10,♠2,♥2,♠7 | Pair
♦4,♥10,♠2,♥2,♦5 | Pair
♦4,♦6,♦9,♠2,♥2 | Pair
♦4,♦6,♠2,♥2,♠7 | Pair
♦4,♦6,♠2,♥2,♦5 | Pair
♦4,♦9,♠2,♥2,♠7 | Pair
♦4,♦9,♠2,♥2,♦5 | Pair
♦4,♠2,♥2,♠7,♦5 | Pair
♥10,♦6,♦9,♠2,♥2 | Pair
♥10,♦6,♠2,♥2,♠7 | Pair
♥10,♦6,♠2,♥2,♦5 | Pair
♥10,♦9,♠2,♥2,♠7 | Pair
♥10,♦9,♠2,♥2,♦5 | Pair
♥10,♠2,♥2,♠7,♦5 | Pair
♦6,♦9,♠2,♥2,♠7 | Pair
♦6,♦9,♠2,♥2,♦5 | Pair
♦6,♠2,♥2,♠7,♦5 | Pair
♦9,♠2,♥2,♠7,♦5 | Pair
