♣2,♠3,♥A,♠10,♥3 | Pair
♠K,♦8,♥7,♣A,♠8 | Pair
♠K,♦8,♥7,♠Q,♦Q | Pair
♠K,♦8,♥7,♠Q,♠8 | Pair
♠K,♦8,♥7,♦Q,♠8 | Pair
♠K,♦8,♥7,♠8,♦9 | Pair
♠K,♦8,♥3,♣A,♠8 | Pair
♠K,♦8,♥3,♠Q,♦Q | Pair
♠K,♦8,♥3,♠Q,♠8 | Pair
♠K,♦8,♥3,♦Q,♠8 | Pair
♠K,♦8,♥3,♠8,♦9 | Pair
♠K,♦8,♣A,♠Q,♦Q | Pair
♠K,♦8,♣A,♠Q,♠8 | Pair
♠K,♦8,♣A,♦Q,♠8 | Pair
♠K,♦8,♣A,♠8,♦9 | Pair
♠K,♦8,♠Q,♦Q,♠8 | Two Pairs
♠K,♦8,♠Q,♦Q,♦9 | Pair
♠K,♦8,♠Q,♠8,♦9 | Pair
♠K,♦8,♦Q,♠8,♦9 | Pair
♠K,♥7,♥3,♠Q,♦Q | Pair
♠K,♥7,♣A,♠Q,♦Q | Pair
♠K,♥7,♠Q,♦Q,♠8 | Pair
♠K,♥7,♠Q,♦Q,♦9 | Pair
♠K,♥3,♣A,♠Q,♦Q | Pair
♠K,♥3,♠Q,♦Q,♠8 | Pair
♠K,♥3,♠Q,♦Q,♦9 | Pair
♠K,♣A,♠Q,♦Q,♠8 | Pair
♠K,♣A,♠Q,♦Q,♦9 | Pair
♠K,♠Q,♦Q,♠8,♦9 | Pair
♦8,♥7,♥3,♣A,♠8 | Pair
♦8,♥7,♥3,♠Q,♦Q | Pair
♦8,♥7,♥3,♠Q,♠8 | Pair
♦8,♥7,♥3,♦Q,♠8 | Pair
♦8,♥7,♥3,♠8,♦9 | Pair
♦8,♥7,♣A,♠Q,♦Q | Pair
♦8,♥7,♣A,♠Q,♠8 | Pair
♦8,♥7,♣A,♦Q,♠8 | Pair
♦8,♥7,♣A,♠8,♦9 | Pair
♦8,♥7,♠Q,♦Q,♠8 | Two Pairs
♦8,♥7,♠Q,♦Q,♦9 | Pair
♦8,♥7,♠Q,♠8,♦9 | Pair
♦8,♥7,♦Q,♠8,♦9 | Pair
♦8,♥3,♣A,♠Q,♦Q | Pair
♦8,♥3,♣A,♠Q,♠8 | Pair
♦8,♥3,♣A,♦Q,♠8 | Pair
♦8,♥3,♣A,♠8,♦9 | Pair
♦8,♥3,♠Q,♦Q,♠8 | Two Pairs
♦8,♥3,♠Q,♦Q,♦9 | Pair
♦8,♥3,♠Q,♠8,♦9 | Pair
♦8,♥3,♦Q,♠8,♦9 | Pair
♦8,♣A,♠Q,♦Q,♠8 | Two Pairs
♦8,♣A,♠Q,♦Q,♦9 | Pair
♦8,♣A,♠Q,♠8,♦9 | Pair
♦8,♣A,♦Q,♠8,♦9 | Pair
♦8,♠Q,♦Q,♠8,♦9 | Two Pairs
♥7,♥3,♣A,♠Q,♦Q | Pair
♥7,♥3,♠Q,♦Q,♠8 | Pair
♥7,♥3,♠Q,♦Q,♦9 | Pair
♥7,♣A,♠Q,♦Q,♠8 | Pair
♥7,♣A,♠Q,♦Q,♦9 | Pair
♥7,♠Q,♦Q,♠8,♦9 | Pair
♥3,♣A,♠Q,♦Q,♠8 | Pair
♥3,♣A,♠Q,♦Q,♦9 | Pair
♥3,♠Q,♦Q,♠8,♦9 | Pair
♣A,♠Q,♦Q,♠8,♦9 | Pair
