♠5,♣J,♣2,♣6,♦2 | Pair
♣6,♥K,♣9,♠9,♠K | Two Pairs
♣6,♥K,♣9,♠9,♠10 | Pair
♣6,♥K,♣9,♠9,♠4 | Pair
♣6,♥K,♣9,♠9,♥2 | Pair
♣6,♥K,♣9,♠K,♠10 | Pair
♣6,♥K,♣9,♠K,♠4 | Pair
♣6,♥K,♣9,♠K,♥2 | Pair
♣6,♥K,♠9,♠K,♠10 | Pair
♣6,♥K,♠9,♠K,♠4 | Pair
♣6,♥K,♠9,♠K,♥2 | Pair
♣6,♥K,♠K,♠10,♠4 | Pair
♣6,♥K,♠K,♠10,♥2 | Pair
♣6,♥K,♠K,♠4,♥2 | Pair
♣6,♦2,♦3,♣9,♠9 | Pair
♣6,♦2,♦3,♣9,♥2 | Pair
♣6,♦2,♦3,♠9,♥2 | Pair
♣6,♦2,♦3,♠K,♥2 | Pair
♣6,♦2,♦3,♠10,♥2 | Pair
♣6,♦2,♦3,♠4,♥2 | Pair
♣6,♦2,♣9,♠9,♠K | Pair
♣6,♦2,♣9,♠9,♠10 | Pair
♣6,♦2,♣9,♠9,♠4 | Pair
♣6,♦2,♣9,♠9,♥2 | Two Pairs
♣6,♦2,♣9,♠K,♥2 | Pair
♣6,♦2,♣9,♠10,♥2 | Pair
♣6,♦2,♣9,♠4,♥2 | Pair
♣6,♦2,♠9,♠K,♥2 | Pair
♣6,♦2,♠9,♠10,♥2 | Pair
♣6,♦2,♠9,♠4,♥2 | Pair
♣6,♦2,♠K,♠10,♥2 | Pair
♣6,♦2,♠K,♠4,♥2 | Pair
♣6,♦2,♠10,♠4,♥2 | Pair
♣6,♦3,♣9,♠9,♠K | Pair
♣6,♦3,♣9,♠9,♠10 | Pair
♣6,♦3,♣9,♠9,♠4 | Pair
♣6,♦3,♣9,♠9,♥2 | Pair
♣6,♣9,♠9,♠K,♠10 | Pair
♣6,♣9,♠9,♠K,♠4 | Pair
♣6,♣9,♠9,♠K,♥2 | Pair
♣6,♣9,♠9,♠10,♠4 | Pair
♣6,♣9,♠9,♠10,♥2 | Pair
♣6,♣9,♠9,♠4,♥2 | Pair
♥K,♦2,♦3,♣9,♠9 | Pair
♥K,♦2,♦3,♣9,♠K | Pair
♥K,♦2,♦3,♣9,♥2 | Pair
♥K,♦2,♦3,♠9,♠K | Pair
♥K,♦2,♦3,♠9,♥2 | Pair
♥K,♦2,♦3,♠K,♠10 | Pair
♥K,♦2,♦3,♠K,♠4 | Pair
♥K,♦2,♦3,♠K,♥2 | Two Pairs
♥K,♦2,♦3,♠10,♥2 | Pair
♥K,♦2,♦3,♠4,♥2 | Pair
♥K,♦2,♣9,♠9,♠K | Two Pairs
♥K,♦2,♣9,♠9,♠10 | Pair
♥K,♦2,♣9,♠9,♠4 | Pair
♥K,♦2,♣9,♠9,♥2 | Two Pairs
♥K,♦2,♣9,♠K,♠10 | Pair
♥K,♦2,♣9,♠K,♠4 | Pair
♥K,♦2,♣9,♠K,♥2 | Two Pairs
♥K,♦2,♣9,♠10,♥2 | Pair
♥K,♦2,♣9,♠4,♥2 | Pair
♥K,♦2,♠9,♠K,♠10 | Pair
♥K,♦2,♠9,♠K,♠4 | Pair
♥K,♦2,♠9,♠K,♥2 | Two Pairs
♥K,♦2,♠9,♠10,♥2 | Pair
♥K,♦2,♠9,♠4,♥2 | Pair
♥K,♦2,♠K,♠10,♠4 | Pair
♥K,♦2,♠K,♠10,♥2 | Two Pairs
♥K,♦2,♠K,♠4,♥2 | Two Pairs
♥K,♦2,♠10,♠4,♥2 | Pair
♥K,♦3,♣9,♠9,♠K | Two Pairs
♥K,♦3,♣9,♠9,♠10 | Pair
♥K,♦3,♣9,♠9,♠4 | Pair
♥K,♦3,♣9,♠9,♥2 | Pair
♥K,♦3,♣9,♠K,♠10 | Pair
♥K,♦3,♣9,♠K,♠4 | Pair
♥K,♦3,♣9,♠K,♥2 | Pair
♥K,♦3,♠9,♠K,♠10 | Pair
♥K,♦3,♠9,♠K,♠4 | Pair
♥K,♦3,♠9,♠K,♥2 | Pair
♥K,♦3,♠K,♠10,♠4 | Pair
♥K,♦3,♠K,♠10,♥2 | Pair
♥K,♦3,♠K,♠4,♥2 | Pair
♥K,♣9,♠9,♠K,♠10 | Two Pairs
♥K,♣9,♠9,♠K,♠4 | Two Pairs
♥K,♣9,♠9,♠K,♥2 | Two Pairs
♥K,♣9,♠9,♠10,♠4 | Pair
♥K,♣9,♠9,♠10,♥2 | Pair
♥K,♣9,♠9,♠4,♥2 | Pair
♥K,♣9,♠K,♠10,♠4 | Pair
♥K,♣9,♠K,♠10,♥2 | Pair
♥K,♣9,♠K,♠4,♥2 | Pair
♥K,♠9,♠K,♠10,♠4 | Pair
♥K,♠9,♠K,♠10,♥2 | Pair
♥K,♠9,♠K,♠4,♥2 | Pair
♥K,♠K,♠10,♠4,♥2 | Pair
♦2,♦3,♣9,♠9,♠K | Pair
♦2,♦3,♣9,♠9,♠10 | Pair
♦2,♦3,♣9,♠9,♠4 | Pair
♦2,♦3,♣9,♠9,♥2 | Two Pairs
♦2,♦3,♣9,♠K,♥2 | Pair
♦2,♦3,♣9,♠10,♥2 | Pair
♦2,♦3,♣9,♠4,♥2 | Pair
♦2,♦3,♠9,♠K,♥2 | Pair
♦2,♦3,♠9,♠10,♥2 | Pair
♦2,♦3,♠9,♠4,♥2 | Pair
♦2,♦3,♠K,♠10,♥2 | Pair
♦2,♦3,♠K,♠4,♥2 | Pair
♦2,♦3,♠10,♠4,♥2 | Pair
♦2,♣9,♠9,♠K,♠10 | Pair
♦2,♣9,♠9,♠K,♠4 | Pair
♦2,♣9,♠9,♠K,♥2 | Two Pairs
♦2,♣9,♠9,♠10,♠4 | Pair
♦2,♣9,♠9,♠10,♥2 | Two Pairs
♦2,♣9,♠9,♠4,♥2 | Two Pairs
♦2,♣9,♠K,♠10,♥2 | Pair
♦2,♣9,♠K,♠4,♥2 | Pair
♦2,♣9,♠10,♠4,♥2 | Pair
♦2,♠9,♠K,♠10,♥2 | Pair
♦2,♠9,♠K,♠4,♥2 | Pair
♦2,♠9,♠10,♠4,♥2 | Pair
♦2,♠K,♠10,♠4,♥2 | Pair
♦3,♣9,♠9,♠K,♠10 | Pair
♦3,♣9,♠9,♠K,♠4 | Pair
♦3,♣9,♠9,♠K,♥2 | Pair
♦3,♣9,♠9,♠10,♠4 | Pair
♦3,♣9,♠9,♠10,♥2 | Pair
♦3,♣9,♠9,♠4,♥2 | Pair
♣9,♠9,♠K,♠10,♠4 | Pair
♣9,♠9,♠K,♠10,♥2 | Pair
♣9,♠9,♠K,♠4,♥2 | Pair
♣9,♠9,♠10,♠4,♥2 | Pair
