♦J,♠2,♠3,♠8,♥J | Pair
♦K,♥K,♣3,♣2,♥4 | Pair
♦K,♥K,♣3,♣2,♥2 | Two Pairs
♦K,♥K,♣3,♥4,♥2 | Pair
♦K,♥K,♣2,♥4,♥2 | Two Pairs
♦K,♣3,♣2,♥4,♥2 | Pair
♥5,♥J,♥K,♣2,♥2 | Pair
♥5,♥J,♥K,♥4,♥2 | Flush
♥5,♥J,♣3,♣2,♥2 | Pair
♥5,♥J,♣2,♥4,♥2 | Pair
♥5,♥K,♣3,♣2,♥2 | Pair
♥5,♥K,♣2,♥4,♥2 | Pair
♥5,♣3,♣2,♥4,♥2 | Pair
♥J,♥K,♣3,♣2,♥2 | Pair
♥J,♥K,♣2,♥4,♥2 | Pair
♥J,♣3,♣2,♥4,♥2 | Pair
♥K,♣3,♣2,♥4,♥2 | Pair
