♥K,♥A,♣4,♠K,♦8 | Pair
♠K,♦10,♦A,♦K,♦2 | Pair
♠K,♦10,♣7,♦K,♠7 | Two Pairs
♠K,♦10,♣7,♦K,♦2 | Pair
♠K,♦10,♣7,♠7,♦2 | Pair
♠K,♦10,♦K,♠7,♦2 | Pair
♠K,♦A,♣7,♦K,♠7 | Two Pairs
♠K,♦A,♣7,♦K,♦2 | Pair
♠K,♦A,♣7,♠7,♦2 | Pair
♠K,♦A,♦K,♠7,♦2 | Pair
♠K,♣7,♦K,♠7,♦2 | Two Pairs
♦8,♥7,♦10,♦A,♣7 | Pair
♦8,♥7,♦10,♦A,♠7 | Pair
♦8,♥7,♦10,♣7,♦K | Pair
♦8,♥7,♦10,♣7,♠7 | Three Of A Kind
♦8,♥7,♦10,♣7,♦2 | Pair
♦8,♥7,♦10,♦K,♠7 | Pair
♦8,♥7,♦10,♠7,♦2 | Pair
♦8,♥7,♦A,♣7,♦K | Pair
♦8,♥7,♦A,♣7,♠7 | Three Of A Kind
♦8,♥7,♦A,♣7,♦2 | Pair
♦8,♥7,♦A,♦K,♠7 | Pair
♦8,♥7,♦A,♠7,♦2 | Pair
♦8,♥7,♣7,♦K,♠7 | Three Of A Kind
♦8,♥7,♣7,♦K,♦2 | Pair
♦8,♥7,♣7,♠7,♦2 | Three Of A Kind
♦8,♥7,♦K,♠7,♦2 | Pair
♦8,♦10,♦A,♣7,♠7 | Pair
♦8,♦10,♦A,♦K,♦2 | Flush
♦8,♦10,♣7,♦K,♠7 | Pair
♦8,♦10,♣7,♠7,♦2 | Pair
♦8,♦A,♣7,♦K,♠7 | Pair
♦8,♦A,♣7,♠7,♦2 | Pair
♦8,♣7,♦K,♠7,♦2 | Pair
♥7,♦10,♦A,♣7,♦K | Pair
♥7,♦10,♦A,♣7,♠7 | Three Of A Kind
♥7,♦10,♦A,♣7,♦2 | Pair
♥7,♦10,♦A,♦K,♠7 | Pair
♥7,♦10,♦A,♠7,♦2 | Pair
♥7,♦10,♣7,♦K,♠7 | Three Of A Kind
♥7,♦10,♣7,♦K,♦2 | Pair
♥7,♦10,♣7,♠7,♦2 | Three Of A Kind
♥7,♦10,♦K,♠7,♦2 | Pair
♥7,♦A,♣7,♦K,♠7 | Three Of A Kind
♥7,♦A,♣7,♦K,♦2 | Pair
♥7,♦A,♣7,♠7,♦2 | Three Of A Kind
♥7,♦A,♦K,♠7,♦2 | Pair
♥7,♣7,♦K,♠7,♦2 | Three Of A Kind
♦10,♦A,♣7,♦K,♠7 | Pair
♦10,♦A,♣7,♠7,♦2 | Pair
♦10,♣7,♦K,♠7,♦2 | Pair
♦A,♣7,♦K,♠7,♦2 | Pair
