♥7,♣7,♥3,♣8,♣5 | Pair
♣8,♠J,♦K,♦Q,♠K | Pair
♣8,♠J,♦K,♦Q,♣J | Pair
♣8,♠J,♦K,♠K,♣J | Two Pairs
♣8,♠J,♦Q,♠K,♣J | Pair
♣8,♥K,♣10,♦K,♦Q | Pair
♣8,♥K,♣10,♦K,♠K | Three Of A Kind
♣8,♥K,♣10,♦K,♣J | Pair
♣8,♥K,♣10,♦Q,♠K | Pair
♣8,♥K,♣10,♠K,♣J | Pair
♣8,♥K,♦K,♦Q,♠K | Three Of A Kind
♣8,♥K,♦K,♦Q,♣J | Pair
♣8,♥K,♦K,♠K,♣J | Three Of A Kind
♣8,♥K,♦Q,♠K,♣J | Pair
♣8,♣10,♦K,♦Q,♠K | Pair
♣8,♣10,♦K,♠K,♣J | Pair
♣8,♦K,♦Q,♠K,♣J | Pair
♣5,♥6,♠J,♥K,♦K | Pair
♣5,♥6,♠J,♥K,♠K | Pair
♣5,♥6,♠J,♥K,♣J | Pair
♣5,♥6,♠J,♣10,♣J | Pair
♣5,♥6,♠J,♦K,♠K | Pair
♣5,♥6,♠J,♦K,♣J | Pair
♣5,♥6,♠J,♦Q,♣J | Pair
♣5,♥6,♠J,♠K,♣J | Pair
♣5,♥6,♥K,♣10,♦K | Pair
♣5,♥6,♥K,♣10,♠K | Pair
♣5,♥6,♥K,♦K,♦Q | Pair
♣5,♥6,♥K,♦K,♠K | Three Of A Kind
♣5,♥6,♥K,♦K,♣J | Pair
♣5,♥6,♥K,♦Q,♠K | Pair
♣5,♥6,♥K,♠K,♣J | Pair
♣5,♥6,♣10,♦K,♠K | Pair
♣5,♥6,♦K,♦Q,♠K | Pair
♣5,♥6,♦K,♠K,♣J | Pair
♣5,♠J,♥K,♣10,♦K | Pair
♣5,♠J,♥K,♣10,♠K | Pair
♣5,♠J,♥K,♣10,♣J | Pair
♣5,♠J,♥K,♦K,♦Q | Pair
♣5,♠J,♥K,♦K,♠K | Three Of A Kind
♣5,♠J,♥K,♦K,♣J | Two Pairs
♣5,♠J,♥K,♦Q,♠K | Pair
♣5,♠J,♥K,♦Q,♣J | Pair
♣5,♠J,♥K,♠K,♣J | Two Pairs
♣5,♠J,♣10,♦K,♠K | Pair
♣5,♠J,♣10,♦K,♣J | Pair
♣5,♠J,♣10,♦Q,♣J | Pair
♣5,♠J,♣10,♠K,♣J | Pair
♣5,♠J,♦K,♦Q,♠K | Pair
♣5,♠J,♦K,♦Q,♣J | Pair
♣5,♠J,♦K,♠K,♣J | Two Pairs
♣5,♠J,♦Q,♠K,♣J | Pair
♣5,♥K,♣10,♦K,♦Q | Pair
♣5,♥K,♣10,♦K,♠K | Three Of A Kind
♣5,♥K,♣10,♦K,♣J | Pair
♣5,♥K,♣10,♦Q,♠K | Pair
♣5,♥K,♣10,♠K,♣J | Pair
♣5,♥K,♦K,♦Q,♠K | Three Of A Kind
♣5,♥K,♦K,♦Q,♣J | Pair
♣5,♥K,♦K,♠K,♣J | Three Of A Kind
♣5,♥K,♦Q,♠K,♣J | Pair
♣5,♣10,♦K,♦Q,♠K | Pair
♣5,♣10,♦K,♠K,♣J | Pair
♣5,♦K,♦Q,♠K,♣J | Pair
♥6,♠J,♥K,♣10,♦K | Pair
♥6,♠J,♥K,♣10,♠K | Pair
♥6,♠J,♥K,♣10,♣J | Pair
♥6,♠J,♥K,♦K,♦Q | Pair
♥6,♠J,♥K,♦K,♠K | Three Of A Kind
♥6,♠J,♥K,♦K,♣J | Two Pairs
♥6,♠J,♥K,♦Q,♠K | Pair
♥6,♠J,♥K,♦Q,♣J | Pair
♥6,♠J,♥K,♠K,♣J | Two Pairs
♥6,♠J,♣10,♦K,♠K | Pair
♥6,♠J,♣10,♦K,♣J | Pair
♥6,♠J,♣10,♦Q,♣J | Pair
♥6,♠J,♣10,♠K,♣J | Pair
♥6,♠J,♦K,♦Q,♠K | Pair
♥6,♠J,♦K,♦Q,♣J | Pair
♥6,♠J,♦K,♠K,♣J | Two Pairs
♥6,♠J,♦Q,♠K,♣J | Pair
♥6,♥K,♣10,♦K,♦Q | Pair
♥6,♥K,♣10,♦K,♠K | Three Of A Kind
♥6,♥K,♣10,♦K,♣J | Pair
♥6,♥K,♣10,♦Q,♠K | Pair
♥6,♥K,♣10,♠K,♣J | Pair
♥6,♥K,♦K,♦Q,♠K | Three Of A Kind
♥6,♥K,♦K,♦Q,♣J | Pair
♥6,♥K,♦K,♠K,♣J | Three Of A Kind
♥6,♥K,♦Q,♠K,♣J | Pair
♥6,♣10,♦K,♦Q,♠K | Pair
♥6,♣10,♦K,♠K,♣J | Pair
♥6,♦K,♦Q,♠K,♣J | Pair
♠J,♥K,♣10,♦K,♦Q | Pair
♠J,♥K,♣10,♦K,♠K | Three Of A Kind
♠J,♥K,♣10,♦K,♣J | Two Pairs
♠J,♥K,♣10,♦Q,♠K | Pair
♠J,♥K,♣10,♦Q,♣J | Pair
♠J,♥K,♣10,♠K,♣J | Two Pairs
♠J,♥K,♦K,♦Q,♠K | Three Of A Kind
♠J,♥K,♦K,♦Q,♣J | Two Pairs
♠J,♥K,♦K,♠K,♣J | Full House
♠J,♥K,♦Q,♠K,♣J | Two Pairs
♠J,♣10,♦K,♦Q,♠K | Pair
♠J,♣10,♦K,♦Q,♣J | Pair
♠J,♣10,♦K,♠K,♣J | Two Pairs
♠J,♣10,♦Q,♠K,♣J | Pair
♠J,♦K,♦Q,♠K,♣J | Two Pairs
♥K,♣10,♦K,♦Q,♠K | Three Of A Kind
♥K,♣10,♦K,♦Q,♣J | Pair
♥K,♣10,♦K,♠K,♣J | Three Of A Kind
♥K,♣10,♦Q,♠K,♣J | Pair
♥K,♦K,♦Q,♠K,♣J | Three Of A Kind
♣10,♦K,♦Q,♠K,♣J | Pair
