♣Q,♥4,♣4,♠J,♥10 | Pair
♠J,♥10,♠8,♣K,♣J | Pair
♠J,♥10,♠8,♣K,♦10 | Pair
♠J,♥10,♠8,♥6,♠6 | Pair
♠J,♥10,♠8,♥6,♦8 | Pair
♠J,♥10,♠8,♥6,♣J | Pair
♠J,♥10,♠8,♥6,♦10 | Pair
♠J,♥10,♠8,♠6,♦8 | Pair
♠J,♥10,♠8,♠6,♣J | Pair
♠J,♥10,♠8,♠6,♦10 | Pair
♠J,♥10,♠8,♦8,♣J | Two Pairs
♠J,♥10,♠8,♦8,♦10 | Two Pairs
♠J,♥10,♠8,♦8,♥2 | Pair
♠J,♥10,♠8,♣J,♦10 | Two Pairs
♠J,♥10,♠8,♣J,♥2 | Pair
♠J,♥10,♠8,♦10,♥2 | Pair
♠J,♥10,♣K,♥6,♠6 | Pair
♠J,♥10,♣K,♥6,♣J | Pair
♠J,♥10,♣K,♥6,♦10 | Pair
♠J,♥10,♣K,♠6,♣J | Pair
♠J,♥10,♣K,♠6,♦10 | Pair
♠J,♥10,♣K,♦8,♣J | Pair
♠J,♥10,♣K,♦8,♦10 | Pair
♠J,♥10,♣K,♣J,♦10 | Two Pairs
♠J,♥10,♣K,♣J,♥2 | Pair
♠J,♥10,♣K,♦10,♥2 | Pair
♠J,♥10,♥6,♠6,♦8 | Pair
♠J,♥10,♥6,♠6,♣J | Two Pairs
♠J,♥10,♥6,♠6,♦10 | Two Pairs
♠J,♥10,♥6,♠6,♥2 | Pair
♠J,♥10,♥6,♦8,♣J | Pair
♠J,♥10,♥6,♦8,♦10 | Pair
♠J,♥10,♥6,♣J,♦10 | Two Pairs
♠J,♥10,♥6,♣J,♥2 | Pair
♠J,♥10,♥6,♦10,♥2 | Pair
♠J,♥10,♠6,♦8,♣J | Pair
♠J,♥10,♠6,♦8,♦10 | Pair
♠J,♥10,♠6,♣J,♦10 | Two Pairs
♠J,♥10,♠6,♣J,♥2 | Pair
♠J,♥10,♠6,♦10,♥2 | Pair
♠J,♥10,♦8,♣J,♦10 | Two Pairs
♠J,♥10,♦8,♣J,♥2 | Pair
♠J,♥10,♦8,♦10,♥2 | Pair
♠J,♥10,♣J,♦10,♥2 | Two Pairs
♠J,♠8,♣K,♥6,♠6 | Pair
♠J,♠8,♣K,♥6,♦8 | Pair
♠J,♠8,♣K,♥6,♣J | Pair
♠J,♠8,♣K,♠6,♦8 | Pair
♠J,♠8,♣K,♠6,♣J | Pair
♠J,♠8,♣K,♦8,♣J | Two Pairs
♠J,♠8,♣K,♦8,♦10 | Pair
♠J,♠8,♣K,♦8,♥2 | Pair
♠J,♠8,♣K,♣J,♦10 | Pair
♠J,♠8,♣K,♣J,♥2 | Pair
♠J,♠8,♥6,♠6,♦8 | Two Pairs
♠J,♠8,♥6,♠6,♣J | Two Pairs
♠J,♠8,♥6,♠6,♦10 | Pair
♠J,♠8,♥6,♠6,♥2 | Pair
♠J,♠8,♥6,♦8,♣J | Two Pairs
♠J,♠8,♥6,♦8,♦10 | Pair
♠J,♠8,♥6,♦8,♥2 | Pair
♠J,♠8,♥6,♣J,♦10 | Pair
♠J,♠8,♥6,♣J,♥2 | Pair
♠J,♠8,♠6,♦8,♣J | Two Pairs
♠J,♠8,♠6,♦8,♦10 | Pair
♠J,♠8,♠6,♦8,♥2 | Pair
♠J,♠8,♠6,♣J,♦10 | Pair
♠J,♠8,♠6,♣J,♥2 | Pair
♠J,♠8,♦8,♣J,♦10 | Two Pairs
♠J,♠8,♦8,♣J,♥2 | Two Pairs
♠J,♠8,♦8,♦10,♥2 | Pair
♠J,♠8,♣J,♦10,♥2 | Pair
♠J,♣K,♥6,♠6,♦8 | Pair
♠J,♣K,♥6,♠6,♣J | Two Pairs
♠J,♣K,♥6,♠6,♦10 | Pair
♠J,♣K,♥6,♠6,♥2 | Pair
♠J,♣K,♥6,♦8,♣J | Pair
♠J,♣K,♥6,♣J,♦10 | Pair
♠J,♣K,♥6,♣J,♥2 | Pair
♠J,♣K,♠6,♦8,♣J | Pair
♠J,♣K,♠6,♣J,♦10 | Pair
♠J,♣K,♠6,♣J,♥2 | Pair
♠J,♣K,♦8,♣J,♦10 | Pair
♠J,♣K,♦8,♣J,♥2 | Pair
♠J,♣K,♣J,♦10,♥2 | Pair
♠J,♥6,♠6,♦8,♣J | Two Pairs
♠J,♥6,♠6,♦8,♦10 | Pair
♠J,♥6,♠6,♦8,♥2 | Pair
♠J,♥6,♠6,♣J,♦10 | Two Pairs
♠J,♥6,♠6,♣J,♥2 | Two Pairs
♠J,♥6,♠6,♦10,♥2 | Pair
♠J,♥6,♦8,♣J,♦10 | Pair
♠J,♥6,♦8,♣J,♥2 | Pair
♠J,♥6,♣J,♦10,♥2 | Pair
♠J,♠6,♦8,♣J,♦10 | Pair
♠J,♠6,♦8,♣J,♥2 | Pair
♠J,♠6,♣J,♦10,♥2 | Pair
♠J,♦8,♣J,♦10,♥2 | Pair
♥10,♠8,♣K,♥6,♠6 | Pair
♥10,♠8,♣K,♥6,♦8 | Pair
♥10,♠8,♣K,♥6,♦10 | Pair
♥10,♠8,♣K,♠6,♦8 | Pair
♥10,♠8,♣K,♠6,♦10 | Pair
♥10,♠8,♣K,♦8,♣J | Pair
♥10,♠8,♣K,♦8,♦10 | Two Pairs
♥10,♠8,♣K,♦8,♥2 | Pair
♥10,♠8,♣K,♣J,♦10 | Pair
♥10,♠8,♣K,♦10,♥2 | Pair
♥10,♠8,♥6,♠6,♦8 | Two Pairs
♥10,♠8,♥6,♠6,♣J | Pair
♥10,♠8,♥6,♠6,♦10 | Two Pairs
♥10,♠8,♥6,♠6,♥2 | Pair
♥10,♠8,♥6,♦8,♣J | Pair
♥10,♠8,♥6,♦8,♦10 | Two Pairs
♥10,♠8,♥6,♦8,♥2 | Pair
♥10,♠8,♥6,♣J,♦10 | Pair
♥10,♠8,♥6,♦10,♥2 | Pair
♥10,♠8,♠6,♦8,♣J | Pair
♥10,♠8,♠6,♦8,♦10 | Two Pairs
♥10,♠8,♠6,♦8,♥2 | Pair
♥10,♠8,♠6,♣J,♦10 | Pair
♥10,♠8,♠6,♦10,♥2 | Pair
♥10,♠8,♦8,♣J,♦10 | Two Pairs
♥10,♠8,♦8,♣J,♥2 | Pair
♥10,♠8,♦8,♦10,♥2 | Two Pairs
♥10,♠8,♣J,♦10,♥2 | Pair
♥10,♣K,♥6,♠6,♦8 | Pair
♥10,♣K,♥6,♠6,♣J | Pair
♥10,♣K,♥6,♠6,♦10 | Two Pairs
♥10,♣K,♥6,♠6,♥2 | Pair
♥10,♣K,♥6,♦8,♦10 | Pair
♥10,♣K,♥6,♣J,♦10 | Pair
♥10,♣K,♥6,♦10,♥2 | Pair
♥10,♣K,♠6,♦8,♦10 | Pair
♥10,♣K,♠6,♣J,♦10 | Pair
♥10,♣K,♠6,♦10,♥2 | Pair
♥10,♣K,♦8,♣J,♦10 | Pair
♥10,♣K,♦8,♦10,♥2 | Pair
♥10,♣K,♣J,♦10,♥2 | Pair
♥10,♥6,♠6,♦8,♣J | Pair
♥10,♥6,♠6,♦8,♦10 | Two Pairs
♥10,♥6,♠6,♦8,♥2 | Pair
♥10,♥6,♠6,♣J,♦10 | Two Pairs
♥10,♥6,♠6,♣J,♥2 | Pair
♥10,♥6,♠6,♦10,♥2 | Two Pairs
♥10,♥6,♦8,♣J,♦10 | Pair
♥10,♥6,♦8,♦10,♥2 | Pair
♥10,♥6,♣J,♦10,♥2 | Pair
♥10,♠6,♦8,♣J,♦10 | Pair
♥10,♠6,♦8,♦10,♥2 | Pair
♥10,♠6,♣J,♦10,♥2 | Pair
♥10,♦8,♣J,♦10,♥2 | Pair
♠8,♣K,♥6,♠6,♦8 | Two Pairs
♠8,♣K,♥6,♠6,♣J | Pair
♠8,♣K,♥6,♠6,♦10 | Pair
♠8,♣K,♥6,♠6,♥2 | Pair
♠8,♣K,♥6,♦8,♣J | Pair
♠8,♣K,♥6,♦8,♦10 | Pair
♠8,♣K,♥6,♦8,♥2 | Pair
♠8,♣K,♠6,♦8,♣J | Pair
♠8,♣K,♠6,♦8,♦10 | Pair
♠8,♣K,♠6,♦8,♥2 | Pair
♠8,♣K,♦8,♣J,♦10 | Pair
♠8,♣K,♦8,♣J,♥2 | Pair
♠8,♣K,♦8,♦10,♥2 | Pair
♠8,♥6,♠6,♦8,♣J | Two Pairs
♠8,♥6,♠6,♦8,♦10 | Two Pairs
♠8,♥6,♠6,♦8,♥2 | Two Pairs
♠8,♥6,♠6,♣J,♦10 | Pair
♠8,♥6,♠6,♣J,♥2 | Pair
♠8,♥6,♠6,♦10,♥2 | Pair
♠8,♥6,♦8,♣J,♦10 | Pair
♠8,♥6,♦8,♣J,♥2 | Pair
♠8,♥6,♦8,♦10,♥2 | Pair
♠8,♠6,♦8,♣J,♦10 | Pair
♠8,♠6,♦8,♣J,♥2 | Pair
♠8,♠6,♦8,♦10,♥2 | Pair
♠8,♦8,♣J,♦10,♥2 | Pair
♣K,♥6,♠6,♦8,♣J | Pair
♣K,♥6,♠6,♦8,♦10 | Pair
♣K,♥6,♠6,♦8,♥2 | Pair
♣K,♥6,♠6,♣J,♦10 | Pair
♣K,♥6,♠6,♣J,♥2 | Pair
♣K,♥6,♠6,♦10,♥2 | Pair
♥6,♠6,♦8,♣J,♦10 | Pair
♥6,♠6,♦8,♣J,♥2 | Pair
♥6,♠6,♦8,♦10,♥2 | Pair
♥6,♠6,♣J,♦10,♥2 | Pair
