♥7,♦Q,♥5,♠A,♣A | Pair
♠A,♣K,♣A,♦5,♣5 | Two Pairs
♠A,♣K,♣A,♦5,♠8 | Pair
♠A,♣K,♣A,♣10,♠J | Pair
♠A,♣K,♣A,♣10,♣3 | Pair
♠A,♣K,♣A,♣10,♣5 | Pair
♠A,♣K,♣A,♣10,♠8 | Pair
♠A,♣K,♣A,♠J,♣3 | Pair
♠A,♣K,♣A,♠J,♣5 | Pair
♠A,♣K,♣A,♠J,♠8 | Pair
♠A,♣K,♣A,♣3,♣5 | Pair
♠A,♣K,♣A,♣3,♠8 | Pair
♠A,♣K,♣A,♣5,♠8 | Pair
♠A,♣K,♠K,♦5,♣10 | Pair
♠A,♣K,♠K,♦5,♠J | Pair
♠A,♣K,♠K,♦5,♣3 | Pair
♠A,♣K,♠K,♦5,♣5 | Two Pairs
♠A,♣K,♠K,♦5,♠8 | Pair
♠A,♣K,♠K,♣10,♠J | Pair
♠A,♣K,♠K,♣10,♣3 | Pair
♠A,♣K,♠K,♣10,♣5 | Pair
♠A,♣K,♠K,♣10,♠8 | Pair
♠A,♣K,♠K,♠J,♣3 | Pair
♠A,♣K,♠K,♠J,♣5 | Pair
♠A,♣K,♠K,♠J,♠8 | Pair
♠A,♣K,♠K,♣3,♣5 | Pair
♠A,♣K,♠K,♣3,♠8 | Pair
♠A,♣K,♠K,♣5,♠8 | Pair
♠A,♣K,♦5,♣10,♣5 | Pair
♠A,♣K,♦5,♠J,♣5 | Pair
♠A,♣K,♦5,♣3,♣5 | Pair
♠A,♣K,♦5,♣5,♠8 | Pair
♠A,♣A,♠K,♦5,♣10 | Pair
♠A,♣A,♠K,♦5,♠J | Pair
♠A,♣A,♠K,♦5,♣3 | Pair
♠A,♣A,♠K,♦5,♣5 | Two Pairs
♠A,♣A,♠K,♦5,♠8 | Pair
♠A,♣A,♠K,♣10,♠J | Pair
♠A,♣A,♠K,♣10,♣3 | Pair
♠A,♣A,♠K,♣10,♣5 | Pair
♠A,♣A,♠K,♣10,♠8 | Pair
♠A,♣A,♠K,♠J,♣3 | Pair
♠A,♣A,♠K,♠J,♣5 | Pair
♠A,♣A,♠K,♠J,♠8 | Pair
♠A,♣A,♠K,♣3,♣5 | Pair
♠A,♣A,♠K,♣3,♠8 | Pair
♠A,♣A,♠K,♣5,♠8 | Pair
♠A,♣A,♦5,♣10,♠J | Pair
♠A,♣A,♦5,♣10,♣3 | Pair
♠A,♣A,♦5,♣10,♣5 | Two Pairs
♠A,♣A,♦5,♣10,♠8 | Pair
♠A,♣A,♦5,♠J,♣3 | Pair
♠A,♣A,♦5,♠J,♣5 | Two Pairs
♠A,♣A,♦5,♠J,♠8 | Pair
♠A,♣A,♦5,♣3,♣5 | Two Pairs
♠A,♣A,♦5,♣3,♠8 | Pair
♠A,♣A,♦5,♣5,♠8 | Two Pairs
♠A,♣A,♣10,♠J,♣3 | Pair
♠A,♣A,♣10,♠J,♣5 | Pair
♠A,♣A,♣10,♠J,♠8 | Pair
♠A,♣A,♣10,♣3,♣5 | Pair
♠A,♣A,♣10,♣3,♠8 | Pair
♠A,♣A,♣10,♣5,♠8 | Pair
♠A,♣A,♠J,♣3,♣5 | Pair
♠A,♣A,♠J,♣3,♠8 | Pair
♠A,♣A,♠J,♣5,♠8 | Pair
♠A,♣A,♣3,♣5,♠8 | Pair
♠A,♠K,♦5,♣10,♣5 | Pair
♠A,♠K,♦5,♠J,♣5 | Pair
♠A,♠K,♦5,♣3,♣5 | Pair
♠A,♠K,♦5,♣5,♠8 | Pair
♠A,♦5,♣10,♠J,♣5 | Pair
♠A,♦5,♣10,♣3,♣5 | Pair
♠A,♦5,♣10,♣5,♠8 | Pair
♠A,♦5,♠J,♣3,♣5 | Pair
♠A,♦5,♠J,♣5,♠8 | Pair
♠A,♦5,♣3,♣5,♠8 | Pair
♣K,♣A,♠K,♦5,♣10 | Pair
♣K,♣A,♠K,♦5,♠J | Pair
♣K,♣A,♠K,♦5,♣3 | Pair
♣K,♣A,♠K,♦5,♣5 | Two Pairs
♣K,♣A,♠K,♦5,♠8 | Pair
♣K,♣A,♠K,♣10,♠J | Pair
♣K,♣A,♠K,♣10,♣3 | Pair
♣K,♣A,♠K,♣10,♣5 | Pair
♣K,♣A,♠K,♣10,♠8 | Pair
♣K,♣A,♠K,♠J,♣3 | Pair
♣K,♣A,♠K,♠J,♣5 | Pair
♣K,♣A,♠K,♠J,♠8 | Pair
♣K,♣A,♠K,♣3,♣5 | Pair
♣K,♣A,♠K,♣3,♠8 | Pair
♣K,♣A,♠K,♣5,♠8 | Pair
♣K,♣A,♦5,♣10,♣5 | Pair
♣K,♣A,♦5,♠J,♣5 | Pair
♣K,♣A,♦5,♣3,♣5 | Pair
♣K,♣A,♦5,♣5,♠8 | Pair
♣K,♣A,♣10,♣3,♣5 | Flush
♣K,♠K,♦5,♣10,♠J | Pair
♣K,♠K,♦5,♣10,♣3 | Pair
♣K,♠K,♦5,♣10,♣5 | Two Pairs
♣K,♠K,♦5,♣10,♠8 | Pair
♣K,♠K,♦5,♠J,♣3 | Pair
♣K,♠K,♦5,♠J,♣5 | Two Pairs
♣K,♠K,♦5,♠J,♠8 | Pair
♣K,♠K,♦5,♣3,♣5 | Two Pairs
♣K,♠K,♦5,♣3,♠8 | Pair
♣K,♠K,♦5,♣5,♠8 | Two Pairs
♣K,♠K,♣10,♠J,♣3 | Pair
♣K,♠K,♣10,♠J,♣5 | Pair
♣K,♠K,♣10,♠J,♠8 | Pair
♣K,♠K,♣10,♣3,♣5 | Pair
♣K,♠K,♣10,♣3,♠8 | Pair
♣K,♠K,♣10,♣5,♠8 | Pair
♣K,♠K,♠J,♣3,♣5 | Pair
♣K,♠K,♠J,♣3,♠8 | Pair
♣K,♠K,♠J,♣5,♠8 | Pair
♣K,♠K,♣3,♣5,♠8 | Pair
♣K,♦5,♣10,♠J,♣5 | Pair
♣K,♦5,♣10,♣3,♣5 | Pair
♣K,♦5,♣10,♣5,♠8 | Pair
♣K,♦5,♠J,♣3,♣5 | Pair
♣K,♦5,♠J,♣5,♠8 | Pair
♣K,♦5,♣3,♣5,♠8 | Pair
♣A,♠K,♦5,♣10,♣5 | Pair
♣A,♠K,♦5,♠J,♣5 | Pair
♣A,♠K,♦5,♣3,♣5 | Pair
♣A,♠K,♦5,♣5,♠8 | Pair
♣A,♦5,♣10,♠J,♣5 | Pair
♣A,♦5,♣10,♣3,♣5 | Pair
♣A,♦5,♣10,♣5,♠8 | Pair
♣A,♦5,♠J,♣3,♣5 | Pair
♣A,♦5,♠J,♣5,♠8 | Pair
♣A,♦5,♣3,♣5,♠8 | Pair
♠K,♦5,♣10,♠J,♣5 | Pair
♠K,♦5,♣10,♣3,♣5 | Pair
♠K,♦5,♣10,♣5,♠8 | Pair
♠K,♦5,♠J,♣3,♣5 | Pair
♠K,♦5,♠J,♣5,♠8 | Pair
♠K,♦5,♣3,♣5,♠8 | Pair
♦5,♣10,♠J,♣3,♣5 | Pair
♦5,♣10,♠J,♣5,♠8 | Pair
♦5,♣10,♣3,♣5,♠8 | Pair
♦5,♠J,♣3,♣5,♠8 | Pair
