♦7,♠10,♥K,♣3,♥3 | Pair
♣3,♥3,♣2,♦Q,♠A | Pair
♣3,♥3,♣2,♣10,♠A | Pair
♣3,♥3,♦Q,♣10,♠A | Pair
♣3,♠7,♣A,♥4,♠A | Pair
♣3,♠7,♣A,♣2,♠A | Pair
♣3,♠7,♣A,♦Q,♠A | Pair
♣3,♠7,♣A,♣10,♠A | Pair
♣3,♣A,♥4,♣2,♠A | Pair
♣3,♣A,♥4,♦Q,♠A | Pair
♣3,♣A,♥4,♣10,♠A | Pair
♣3,♣A,♣2,♦Q,♠A | Pair
♣3,♣A,♣2,♣10,♠A | Pair
♣3,♣A,♦Q,♣10,♠A | Pair
♠9,♥3,♠7,♣A,♠A | Pair
♠9,♥3,♣A,♥4,♠A | Pair
♠9,♥3,♣A,♣2,♠A | Pair
♠9,♥3,♣A,♦Q,♠A | Pair
♠9,♥3,♣A,♣10,♠A | Pair
♠9,♠7,♣A,♥4,♠A | Pair
♠9,♠7,♣A,♣2,♠A | Pair
♠9,♠7,♣A,♦Q,♠A | Pair
♠9,♠7,♣A,♣10,♠A | Pair
♠9,♣A,♥4,♣2,♠A | Pair
♠9,♣A,♥4,♦Q,♠A | Pair
♠9,♣A,♥4,♣10,♠A | Pair
♠9,♣A,♣2,♦Q,♠A | Pair
♠9,♣A,♣2,♣10,♠A | Pair
♠9,♣A,♦Q,♣10,♠A | Pair
♥3,♠7,♣A,♥4,♠A | Pair
♥3,♠7,♣A,♣2,♠A | Pair
♥3,♠7,♣A,♦Q,♠A | Pair
♥3,♠7,♣A,♣10,♠A | Pair
♥3,♣A,♥4,♣2,♠A | Pair
♥3,♣A,♥4,♦Q,♠A | Pair
♥3,♣A,♥4,♣10,♠A | Pair
♥3,♣A,♣2,♦Q,♠A | Pair
♥3,♣A,♣2,♣10,♠A | Pair
♥3,♣A,♦Q,♣10,♠A | Pair
♠7,♣A,♥4,♣2,♠A | Pair
♠7,♣A,♥4,♦Q,♠A | Pair
♠7,♣A,♥4,♣10,♠A | Pair
♠7,♣A,♣2,♦Q,♠A | Pair
♠7,♣A,♣2,♣10,♠A | Pair
♠7,♣A,♦Q,♣10,♠A | Pair
♣A,♥4,♣2,♦Q,♠A | Pair
♣A,♥4,♣2,♣10,♠A | Pair
♣A,♥4,♦Q,♣10,♠A | Pair
♣A,♣2,♦Q,♣10,♠A | Pair
