♥A,♠7,♦J,♣5,♣7 | Pair
♣5,♥3,♣6,♠K,♠6 | Pair
♣5,♥3,♣6,♣J,♠6 | Pair
♣5,♦9,♣8,♣7,♣6 | Straight
♣5,♦9,♣8,♣7,♠6 | Straight
♣5,♦9,♣8,♣6,♠6 | Pair
♣5,♦9,♣Q,♣6,♠6 | Pair
♣5,♦9,♣7,♣6,♠6 | Pair
♣5,♦9,♣6,♠4,♠6 | Pair
♣5,♦9,♣6,♠K,♠6 | Pair
♣5,♦9,♣6,♣J,♠6 | Pair
♣5,♣8,♣Q,♣7,♣6 | Flush
♣5,♣8,♣Q,♣7,♣J | Flush
♣5,♣8,♣Q,♣6,♣J | Flush
♣5,♣8,♣Q,♣6,♠6 | Pair
♣5,♣8,♣7,♣6,♠4 | Straight
♣5,♣8,♣7,♣6,♣J | Flush
♣5,♣8,♣7,♣6,♠6 | Pair
♣5,♣8,♣7,♠4,♠6 | Straight
♣5,♣8,♣6,♠4,♠6 | Pair
♣5,♣8,♣6,♠K,♠6 | Pair
♣5,♣8,♣6,♣J,♠6 | Pair
♣5,♣Q,♣7,♣6,♣J | Flush
♣5,♣Q,♣7,♣6,♠6 | Pair
♣5,♣Q,♣6,♠4,♠6 | Pair
♣5,♣Q,♣6,♠K,♠6 | Pair
♣5,♣Q,♣6,♣J,♠6 | Pair
♣5,♣7,♣6,♠4,♠6 | Pair
♣5,♣7,♣6,♠K,♠6 | Pair
♣5,♣7,♣6,♣J,♠6 | Pair
♣5,♣6,♠4,♠K,♠6 | Pair
♣5,♣6,♠4,♣J,♠6 | Pair
♣5,♣6,♠K,♣J,♠6 | Pair
♥3,♦9,♣8,♣6,♠6 | Pair
♥3,♦9,♣Q,♣6,♠6 | Pair
♥3,♦9,♣7,♣6,♠6 | Pair
♥3,♦9,♣6,♠4,♠6 | Pair
♥3,♦9,♣6,♠K,♠6 | Pair
♥3,♦9,♣6,♣J,♠6 | Pair
♥3,♣8,♣Q,♣6,♠6 | Pair
♥3,♣8,♣7,♣6,♠6 | Pair
♥3,♣8,♣6,♠4,♠6 | Pair
♥3,♣8,♣6,♠K,♠6 | Pair
♥3,♣8,♣6,♣J,♠6 | Pair
♥3,♣Q,♣7,♣6,♠6 | Pair
♥3,♣Q,♣6,♠4,♠6 | Pair
♥3,♣Q,♣6,♠K,♠6 | Pair
♥3,♣Q,♣6,♣J,♠6 | Pair
♥3,♣7,♣6,♠4,♠6 | Pair
♥3,♣7,♣6,♠K,♠6 | Pair
♥3,♣7,♣6,♣J,♠6 | Pair
♥3,♣6,♠4,♠K,♠6 | Pair
♥3,♣6,♠4,♣J,♠6 | Pair
♥3,♣6,♠K,♣J,♠6 | Pair
♦9,♣8,♣Q,♣6,♠6 | Pair
♦9,♣8,♣7,♣6,♠6 | Pair
♦9,♣8,♣6,♠4,♠6 | Pair
♦9,♣8,♣6,♠K,♠6 | Pair
♦9,♣8,♣6,♣J,♠6 | Pair
♦9,♣Q,♣7,♣6,♠6 | Pair
♦9,♣Q,♣6,♠4,♠6 | Pair
♦9,♣Q,♣6,♠K,♠6 | Pair
♦9,♣Q,♣6,♣J,♠6 | Pair
♦9,♣7,♣6,♠4,♠6 | Pair
♦9,♣7,♣6,♠K,♠6 | Pair
♦9,♣7,♣6,♣J,♠6 | Pair
♦9,♣6,♠4,♠K,♠6 | Pair
♦9,♣6,♠4,♣J,♠6 | Pair
♦9,♣6,♠K,♣J,♠6 | Pair
♣8,♣Q,♣7,♣6,♣J | Flush
♣8,♣Q,♣7,♣6,♠6 | Pair
♣8,♣Q,♣6,♠4,♠6 | Pair
♣8,♣Q,♣6,♠K,♠6 | Pair
♣8,♣Q,♣6,♣J,♠6 | Pair
♣8,♣7,♣6,♠4,♠6 | Pair
♣8,♣7,♣6,♠K,♠6 | Pair
♣8,♣7,♣6,♣J,♠6 | Pair
♣8,♣6,♠4,♠K,♠6 | Pair
♣8,♣6,♠4,♣J,♠6 | Pair
♣8,♣6,♠K,♣J,♠6 | Pair
♣Q,♣7,♣6,♠4,♠6 | Pair
♣Q,♣7,♣6,♠K,♠6 | Pair
♣Q,♣7,♣6,♣J,♠6 | Pair
♣Q,♣6,♠4,♠K,♠6 | Pair
♣Q,♣6,♠4,♣J,♠6 | Pair
♣Q,♣6,♠K,♣J,♠6 | Pair
♣7,♣6,♠4,♠K,♠6 | Pair
♣7,♣6,♠4,♣J,♠6 | Pair
♣7,♣6,♠K,♣J,♠6 | Pair
♣6,♠4,♠K,♣J,♠6 | Pair
