♣10,♥A,♠7,♥J,♦7 | Pair
♣10,♣9,♦7,♣7,♠6 | Pair
♣10,♣9,♦7,♥Q,♥10 | Pair
♣10,♣9,♦7,♥Q,♦9 | Pair
♣10,♣9,♦7,♥Q,♠9 | Pair
♣10,♣9,♦7,♦3,♥10 | Pair
♣10,♣9,♦7,♦3,♦9 | Pair
♣10,♣9,♦7,♦3,♠9 | Pair
♣10,♣9,♦7,♥10,♦9 | Two Pairs
♣10,♣9,♦7,♥10,♠9 | Two Pairs
♣10,♣9,♦7,♥10,♠6 | Pair
♣10,♣9,♦7,♦9,♠9 | Three Of A Kind
♣10,♣9,♦7,♦9,♠6 | Pair
♣10,♣9,♦7,♠9,♠6 | Pair
♣10,♣9,♦K,♣3,♦3 | Pair
♣10,♣9,♦K,♣3,♥10 | Pair
♣10,♣9,♦K,♣3,♦9 | Pair
♣10,♣9,♦K,♣3,♠9 | Pair
♣10,♣9,♦K,♣7,♥10 | Pair
♣10,♣9,♦K,♣7,♦9 | Pair
♣10,♣9,♦K,♣7,♠9 | Pair
♣10,♣9,♦K,♥Q,♥10 | Pair
♣10,♣9,♦K,♥Q,♦9 | Pair
♣10,♣9,♦K,♥Q,♠9 | Pair
♣10,♣9,♦K,♦3,♥10 | Pair
♣10,♣9,♦K,♦3,♦9 | Pair
♣10,♣9,♦K,♦3,♠9 | Pair
♣10,♣9,♦K,♥10,♦9 | Two Pairs
♣10,♣9,♦K,♥10,♠9 | Two Pairs
♣10,♣9,♦K,♥10,♠6 | Pair
♣10,♣9,♦K,♦9,♠9 | Three Of A Kind
♣10,♣9,♦K,♦9,♠6 | Pair
♣10,♣9,♦K,♠9,♠6 | Pair
♣10,♣9,♣3,♣7,♦3 | Pair
♣10,♣9,♣3,♣7,♥10 | Pair
♣10,♣9,♣3,♣7,♦9 | Pair
♣10,♣9,♣3,♣7,♠9 | Pair
♣10,♣9,♣3,♥Q,♦3 | Pair
♣10,♣9,♣3,♥Q,♥10 | Pair
♣10,♣9,♣3,♥Q,♦9 | Pair
♣10,♣9,♣3,♥Q,♠9 | Pair
♣10,♣9,♣3,♦3,♥10 | Two Pairs
♣10,♣9,♣3,♦3,♦9 | Two Pairs
♣10,♣9,♣3,♦3,♠9 | Two Pairs
♣10,♣9,♣3,♦3,♠6 | Pair
♣10,♣9,♣3,♥10,♦9 | Two Pairs
♣10,♣9,♣3,♥10,♠9 | Two Pairs
♣10,♣9,♣3,♥10,♠6 | Pair
♣10,♣9,♣3,♦9,♠9 | Three Of A Kind
♣10,♣9,♣3,♦9,♠6 | Pair
♣10,♣9,♣3,♠9,♠6 | Pair
♣10,♣9,♣7,♥Q,♥10 | Pair
♣10,♣9,♣7,♥Q,♦9 | Pair
♣10,♣9,♣7,♥Q,♠9 | Pair
♣10,♣9,♣7,♦3,♥10 | Pair
♣10,♣9,♣7,♦3,♦9 | Pair
♣10,♣9,♣7,♦3,♠9 | Pair
♣10,♣9,♣7,♥10,♦9 | Two Pairs
♣10,♣9,♣7,♥10,♠9 | Two Pairs
♣10,♣9,♣7,♥10,♠6 | Pair
♣10,♣9,♣7,♦9,♠9 | Three Of A Kind
♣10,♣9,♣7,♦9,♠6 | Pair
♣10,♣9,♣7,♠9,♠6 | Pair
♣10,♣9,♥Q,♦3,♥10 | Pair
♣10,♣9,♥Q,♦3,♦9 | Pair
♣10,♣9,♥Q,♦3,♠9 | Pair
♣10,♣9,♥Q,♥10,♦9 | Two Pairs
♣10,♣9,♥Q,♥10,♠9 | Two Pairs
♣10,♣9,♥Q,♥10,♠6 | Pair
♣10,♣9,♥Q,♦9,♠9 | Three Of A Kind
♣10,♣9,♥Q,♦9,♠6 | Pair
♣10,♣9,♥Q,♠9,♠6 | Pair
♣10,♣9,♦3,♥10,♦9 | Two Pairs
♣10,♣9,♦3,♥10,♠9 | Two Pairs
♣10,♣9,♦3,♥10,♠6 | Pair
♣10,♣9,♦3,♦9,♠9 | Three Of A Kind
♣10,♣9,♦3,♦9,♠6 | Pair
♣10,♣9,♦3,♠9,♠6 | Pair
♣10,♣9,♥10,♦9,♠9 | Full House
♣10,♣9,♥10,♦9,♠6 | Two Pairs
♣10,♣9,♥10,♠9,♠6 | Two Pairs
♣10,♣9,♦9,♠9,♠6 | Three Of A Kind
♣10,♦7,♦K,♣3,♣7 | Pair
♣10,♦7,♦K,♣3,♦3 | Pair
♣10,♦7,♦K,♣3,♥10 | Pair
♣10,♦7,♦K,♣7,♥Q | Pair
♣10,♦7,♦K,♣7,♦3 | Pair
♣10,♦7,♦K,♣7,♥10 | Two Pairs
♣10,♦7,♦K,♣7,♦9 | Pair
♣10,♦7,♦K,♣7,♠9 | Pair
♣10,♦7,♦K,♣7,♠6 | Pair
♣10,♦7,♦K,♥Q,♥10 | Pair
♣10,♦7,♦K,♦3,♥10 | Pair
♣10,♦7,♦K,♥10,♦9 | Pair
♣10,♦7,♦K,♥10,♠9 | Pair
♣10,♦7,♦K,♥10,♠6 | Pair
♣10,♦7,♦K,♦9,♠9 | Pair
♣10,♦7,♣3,♣7,♥Q | Pair
♣10,♦7,♣3,♣7,♦3 | Two Pairs
♣10,♦7,♣3,♣7,♥10 | Two Pairs
♣10,♦7,♣3,♣7,♦9 | Pair
♣10,♦7,♣3,♣7,♠9 | Pair
♣10,♦7,♣3,♣7,♠6 | Pair
♣10,♦7,♣3,♥Q,♦3 | Pair
♣10,♦7,♣3,♥Q,♥10 | Pair
♣10,♦7,♣3,♦3,♥10 | Two Pairs
♣10,♦7,♣3,♦3,♦9 | Pair
♣10,♦7,♣3,♦3,♠9 | Pair
♣10,♦7,♣3,♦3,♠6 | Pair
♣10,♦7,♣3,♥10,♦9 | Pair
♣10,♦7,♣3,♥10,♠9 | Pair
♣10,♦7,♣3,♥10,♠6 | Pair
♣10,♦7,♣3,♦9,♠9 | Pair
♣10,♦7,♣7,♥Q,♦3 | Pair
♣10,♦7,♣7,♥Q,♥10 | Two Pairs
♣10,♦7,♣7,♥Q,♦9 | Pair
♣10,♦7,♣7,♥Q,♠9 | Pair
♣10,♦7,♣7,♥Q,♠6 | Pair
♣10,♦7,♣7,♦3,♥10 | Two Pairs
♣10,♦7,♣7,♦3,♦9 | Pair
♣10,♦7,♣7,♦3,♠9 | Pair
♣10,♦7,♣7,♦3,♠6 | Pair
♣10,♦7,♣7,♥10,♦9 | Two Pairs
♣10,♦7,♣7,♥10,♠9 | Two Pairs
♣10,♦7,♣7,♥10,♠6 | Two Pairs
♣10,♦7,♣7,♦9,♠9 | Two Pairs
♣10,♦7,♣7,♦9,♠6 | Pair
♣10,♦7,♣7,♠9,♠6 | Pair
♣10,♦7,♥Q,♦3,♥10 | Pair
♣10,♦7,♥Q,♥10,♦9 | Pair
♣10,♦7,♥Q,♥10,♠9 | Pair
♣10,♦7,♥Q,♥10,♠6 | Pair
♣10,♦7,♥Q,♦9,♠9 | Pair
♣10,♦7,♦3,♥10,♦9 | Pair
♣10,♦7,♦3,♥10,♠9 | Pair
♣10,♦7,♦3,♥10,♠6 | Pair
♣10,♦7,♦3,♦9,♠9 | Pair
♣10,♦7,♥10,♦9,♠9 | Two Pairs
♣10,♦7,♥10,♦9,♠6 | Pair
♣10,♦7,♥10,♠9,♠6 | Pair
♣10,♦7,♦9,♠9,♠6 | Pair
♣10,♦K,♣3,♣7,♦3 | Pair
♣10,♦K,♣3,♣7,♥10 | Pair
♣10,♦K,♣3,♥Q,♦3 | Pair
♣10,♦K,♣3,♥Q,♥10 | Pair
♣10,♦K,♣3,♦3,♥10 | Two Pairs
♣10,♦K,♣3,♦3,♦9 | Pair
♣10,♦K,♣3,♦3,♠9 | Pair
♣10,♦K,♣3,♦3,♠6 | Pair
♣10,♦K,♣3,♥10,♦9 | Pair
♣10,♦K,♣3,♥10,♠9 | Pair
♣10,♦K,♣3,♥10,♠6 | Pair
♣10,♦K,♣3,♦9,♠9 | Pair
♣10,♦K,♣7,♥Q,♥10 | Pair
♣10,♦K,♣7,♦3,♥10 | Pair
♣10,♦K,♣7,♥10,♦9 | Pair
♣10,♦K,♣7,♥10,♠9 | Pair
♣10,♦K,♣7,♥10,♠6 | Pair
♣10,♦K,♣7,♦9,♠9 | Pair
♣10,♦K,♥Q,♦3,♥10 | Pair
♣10,♦K,♥Q,♥10,♦9 | Pair
♣10,♦K,♥Q,♥10,♠9 | Pair
♣10,♦K,♥Q,♥10,♠6 | Pair
♣10,♦K,♥Q,♦9,♠9 | Pair
♣10,♦K,♦3,♥10,♦9 | Pair
♣10,♦K,♦3,♥10,♠9 | Pair
♣10,♦K,♦3,♥10,♠6 | Pair
♣10,♦K,♦3,♦9,♠9 | Pair
♣10,♦K,♥10,♦9,♠9 | Two Pairs
♣10,♦K,♥10,♦9,♠6 | Pair
♣10,♦K,♥10,♠9,♠6 | Pair
♣10,♦K,♦9,♠9,♠6 | Pair
♣10,♣3,♣7,♥Q,♦3 | Pair
♣10,♣3,♣7,♥Q,♥10 | Pair
♣10,♣3,♣7,♦3,♥10 | Two Pairs
♣10,♣3,♣7,♦3,♦9 | Pair
♣10,♣3,♣7,♦3,♠9 | Pair
♣10,♣3,♣7,♦3,♠6 | Pair
♣10,♣3,♣7,♥10,♦9 | Pair
♣10,♣3,♣7,♥10,♠9 | Pair
♣10,♣3,♣7,♥10,♠6 | Pair
♣10,♣3,♣7,♦9,♠9 | Pair
♣10,♣3,♥Q,♦3,♥10 | Two Pairs
♣10,♣3,♥Q,♦3,♦9 | Pair
♣10,♣3,♥Q,♦3,♠9 | Pair
♣10,♣3,♥Q,♦3,♠6 | Pair
♣10,♣3,♥Q,♥10,♦9 | Pair
♣10,♣3,♥Q,♥10,♠9 | Pair
♣10,♣3,♥Q,♥10,♠6 | Pair
♣10,♣3,♥Q,♦9,♠9 | Pair
♣10,♣3,♦3,♥10,♦9 | Two Pairs
♣10,♣3,♦3,♥10,♠9 | Two Pairs
♣10,♣3,♦3,♥10,♠6 | Two Pairs
♣10,♣3,♦3,♦9,♠9 | Two Pairs
♣10,♣3,♦3,♦9,♠6 | Pair
♣10,♣3,♦3,♠9,♠6 | Pair
♣10,♣3,♥10,♦9,♠9 | Two Pairs
♣10,♣3,♥10,♦9,♠6 | Pair
♣10,♣3,♥10,♠9,♠6 | Pair
♣10,♣3,♦9,♠9,♠6 | Pair
♣10,♣7,♥Q,♦3,♥10 | Pair
♣10,♣7,♥Q,♥10,♦9 | Pair
♣10,♣7,♥Q,♥10,♠9 | Pair
♣10,♣7,♥Q,♥10,♠6 | Pair
♣10,♣7,♥Q,♦9,♠9 | Pair
♣10,♣7,♦3,♥10,♦9 | Pair
♣10,♣7,♦3,♥10,♠9 | Pair
♣10,♣7,♦3,♥10,♠6 | Pair
♣10,♣7,♦3,♦9,♠9 | Pair
♣10,♣7,♥10,♦9,♠9 | Two Pairs
♣10,♣7,♥10,♦9,♠6 | Pair
♣10,♣7,♥10,♠9,♠6 | Pair
♣10,♣7,♦9,♠9,♠6 | Pair
♣10,♥Q,♦3,♥10,♦9 | Pair
♣10,♥Q,♦3,♥10,♠9 | Pair
♣10,♥Q,♦3,♥10,♠6 | Pair
♣10,♥Q,♦3,♦9,♠9 | Pair
♣10,♥Q,♥10,♦9,♠9 | Two Pairs
♣10,♥Q,♥10,♦9,♠6 | Pair
♣10,♥Q,♥10,♠9,♠6 | Pair
♣10,♥Q,♦9,♠9,♠6 | Pair
♣10,♦3,♥10,♦9,♠9 | Two Pairs
♣10,♦3,♥10,♦9,♠6 | Pair
♣10,♦3,♥10,♠9,♠6 | Pair
♣10,♦3,♦9,♠9,♠6 | Pair
♣10,♥10,♦9,♠9,♠6 | Two Pairs
♥A,♠7,♥J,♣5,♦7 | Pair
♥A,♠7,♥J,♣5,♣7 | Pair
♥A,♠7,♥J,♣9,♦7 | Pair
♥A,♠7,♥J,♣9,♣7 | Pair
♥A,♠7,♥J,♣9,♦9 | Pair
♥A,♠7,♥J,♣9,♠9 | Pair
♥A,♠7,♥J,♦7,♦K | Pair
♥A,♠7,♥J,♦7,♣3 | Pair
♥A,♠7,♥J,♦7,♣7 | Three Of A Kind
♥A,♠7,♥J,♦7,♥Q | Pair
♥A,♠7,♥J,♦7,♦3 | Pair
♥A,♠7,♥J,♦7,♥10 | Pair
♥A,♠7,♥J,♦7,♦9 | Pair
♥A,♠7,♥J,♦7,♠9 | Pair
♥A,♠7,♥J,♦7,♠6 | Pair
♥A,♠7,♥J,♦K,♣7 | Pair
♥A,♠7,♥J,♣3,♣7 | Pair
♥A,♠7,♥J,♣3,♦3 | Pair
♥A,♠7,♥J,♣7,♥Q | Pair
♥A,♠7,♥J,♣7,♦3 | Pair
♥A,♠7,♥J,♣7,♥10 | Pair
♥A,♠7,♥J,♣7,♦9 | Pair
♥A,♠7,♥J,♣7,♠9 | Pair
♥A,♠7,♥J,♣7,♠6 | Pair
♥A,♠7,♥J,♦9,♠9 | Pair
♥A,♠7,♣5,♣9,♦7 | Pair
♥A,♠7,♣5,♣9,♣7 | Pair
♥A,♠7,♣5,♣9,♦9 | Pair
♥A,♠7,♣5,♣9,♠9 | Pair
♥A,♠7,♣5,♦7,♦K | Pair
♥A,♠7,♣5,♦7,♣3 | Pair
♥A,♠7,♣5,♦7,♣7 | Three Of A Kind
♥A,♠7,♣5,♦7,♥Q | Pair
♥A,♠7,♣5,♦7,♦3 | Pair
♥A,♠7,♣5,♦7,♥10 | Pair
♥A,♠7,♣5,♦7,♦9 | Pair
♥A,♠7,♣5,♦7,♠9 | Pair
♥A,♠7,♣5,♦7,♠6 | Pair
♥A,♠7,♣5,♦K,♣7 | Pair
♥A,♠7,♣5,♣3,♣7 | Pair
♥A,♠7,♣5,♣3,♦3 | Pair
♥A,♠7,♣5,♣7,♥Q | Pair
♥A,♠7,♣5,♣7,♦3 | Pair
♥A,♠7,♣5,♣7,♥10 | Pair
♥A,♠7,♣5,♣7,♦9 | Pair
♥A,♠7,♣5,♣7,♠9 | Pair
♥A,♠7,♣5,♣7,♠6 | Pair
♥A,♠7,♣5,♦9,♠9 | Pair
♥A,♠7,♣9,♦7,♦K | Pair
♥A,♠7,♣9,♦7,♣3 | Pair
♥A,♠7,♣9,♦7,♣7 | Three Of A Kind
♥A,♠7,♣9,♦7,♥Q | Pair
♥A,♠7,♣9,♦7,♦3 | Pair
♥A,♠7,♣9,♦7,♥10 | Pair
♥A,♠7,♣9,♦7,♦9 | Two Pairs
♥A,♠7,♣9,♦7,♠9 | Two Pairs
♥A,♠7,♣9,♦7,♠6 | Pair
♥A,♠7,♣9,♦K,♣7 | Pair
♥A,♠7,♣9,♦K,♦9 | Pair
♥A,♠7,♣9,♦K,♠9 | Pair
♥A,♠7,♣9,♣3,♣7 | Pair
♥A,♠7,♣9,♣3,♦3 | Pair
♥A,♠7,♣9,♣3,♦9 | Pair
♥A,♠7,♣9,♣3,♠9 | Pair
♥A,♠7,♣9,♣7,♥Q | Pair
♥A,♠7,♣9,♣7,♦3 | Pair
♥A,♠7,♣9,♣7,♥10 | Pair
♥A,♠7,♣9,♣7,♦9 | Two Pairs
♥A,♠7,♣9,♣7,♠9 | Two Pairs
♥A,♠7,♣9,♣7,♠6 | Pair
♥A,♠7,♣9,♥Q,♦9 | Pair
♥A,♠7,♣9,♥Q,♠9 | Pair
♥A,♠7,♣9,♦3,♦9 | Pair
♥A,♠7,♣9,♦3,♠9 | Pair
♥A,♠7,♣9,♥10,♦9 | Pair
♥A,♠7,♣9,♥10,♠9 | Pair
♥A,♠7,♣9,♦9,♠9 | Three Of A Kind
♥A,♠7,♣9,♦9,♠6 | Pair
♥A,♠7,♣9,♠9,♠6 | Pair
♥A,♠7,♦7,♦K,♣3 | Pair
♥A,♠7,♦7,♦K,♣7 | Three Of A Kind
♥A,♠7,♦7,♦K,♥Q | Pair
♥A,♠7,♦7,♦K,♦3 | Pair
♥A,♠7,♦7,♦K,♥10 | Pair
♥A,♠7,♦7,♦K,♦9 | Pair
♥A,♠7,♦7,♦K,♠9 | Pair
♥A,♠7,♦7,♦K,♠6 | Pair
♥A,♠7,♦7,♣3,♣7 | Three Of A Kind
♥A,♠7,♦7,♣3,♥Q | Pair
♥A,♠7,♦7,♣3,♦3 | Two Pairs
♥A,♠7,♦7,♣3,♥10 | Pair
♥A,♠7,♦7,♣3,♦9 | Pair
♥A,♠7,♦7,♣3,♠9 | Pair
♥A,♠7,♦7,♣3,♠6 | Pair
♥A,♠7,♦7,♣7,♥Q | Three Of A Kind
♥A,♠7,♦7,♣7,♦3 | Three Of A Kind
♥A,♠7,♦7,♣7,♥10 | Three Of A Kind
♥A,♠7,♦7,♣7,♦9 | Three Of A Kind
♥A,♠7,♦7,♣7,♠9 | Three Of A Kind
♥A,♠7,♦7,♣7,♠6 | Three Of A Kind
♥A,♠7,♦7,♥Q,♦3 | Pair
♥A,♠7,♦7,♥Q,♥10 | Pair
♥A,♠7,♦7,♥Q,♦9 | Pair
♥A,♠7,♦7,♥Q,♠9 | Pair
♥A,♠7,♦7,♥Q,♠6 | Pair
♥A,♠7,♦7,♦3,♥10 | Pair
♥A,♠7,♦7,♦3,♦9 | Pair
♥A,♠7,♦7,♦3,♠9 | Pair
♥A,♠7,♦7,♦3,♠6 | Pair
♥A,♠7,♦7,♥10,♦9 | Pair
♥A,♠7,♦7,♥10,♠9 | Pair
♥A,♠7,♦7,♥10,♠6 | Pair
♥A,♠7,♦7,♦9,♠9 | Two Pairs
♥A,♠7,♦7,♦9,♠6 | Pair
♥A,♠7,♦7,♠9,♠6 | Pair
♥A,♠7,♦K,♣3,♣7 | Pair
♥A,♠7,♦K,♣3,♦3 | Pair
♥A,♠7,♦K,♣7,♥Q | Pair
♥A,♠7,♦K,♣7,♦3 | Pair
♥A,♠7,♦K,♣7,♥10 | Pair
♥A,♠7,♦K,♣7,♦9 | Pair
♥A,♠7,♦K,♣7,♠9 | Pair
♥A,♠7,♦K,♣7,♠6 | Pair
♥A,♠7,♦K,♦9,♠9 | Pair
♥A,♠7,♣3,♣7,♥Q | Pair
♥A,♠7,♣3,♣7,♦3 | Two Pairs
♥A,♠7,♣3,♣7,♥10 | Pair
♥A,♠7,♣3,♣7,♦9 | Pair
♥A,♠7,♣3,♣7,♠9 | Pair
♥A,♠7,♣3,♣7,♠6 | Pair
♥A,♠7,♣3,♥Q,♦3 | Pair
♥A,♠7,♣3,♦3,♥10 | Pair
♥A,♠7,♣3,♦3,♦9 | Pair
♥A,♠7,♣3,♦3,♠9 | Pair
♥A,♠7,♣3,♦3,♠6 | Pair
♥A,♠7,♣3,♦9,♠9 | Pair
♥A,♠7,♣7,♥Q,♦3 | Pair
♥A,♠7,♣7,♥Q,♥10 | Pair
♥A,♠7,♣7,♥Q,♦9 | Pair
♥A,♠7,♣7,♥Q,♠9 | Pair
♥A,♠7,♣7,♥Q,♠6 | Pair
♥A,♠7,♣7,♦3,♥10 | Pair
♥A,♠7,♣7,♦3,♦9 | Pair
♥A,♠7,♣7,♦3,♠9 | Pair
♥A,♠7,♣7,♦3,♠6 | Pair
♥A,♠7,♣7,♥10,♦9 | Pair
♥A,♠7,♣7,♥10,♠9 | Pair
♥A,♠7,♣7,♥10,♠6 | Pair
♥A,♠7,♣7,♦9,♠9 | Two Pairs
♥A,♠7,♣7,♦9,♠6 | Pair
♥A,♠7,♣7,♠9,♠6 | Pair
♥A,♠7,♥Q,♦9,♠9 | Pair
♥A,♠7,♦3,♦9,♠9 | Pair
♥A,♠7,♥10,♦9,♠9 | Pair
♥A,♠7,♦9,♠9,♠6 | Pair
♥A,♥J,♣5,♣9,♦9 | Pair
♥A,♥J,♣5,♣9,♠9 | Pair
♥A,♥J,♣5,♦7,♣7 | Pair
♥A,♥J,♣5,♣3,♦3 | Pair
♥A,♥J,♣5,♦9,♠9 | Pair
♥A,♥J,♣9,♦7,♣7 | Pair
♥A,♥J,♣9,♦7,♦9 | Pair
♥A,♥J,♣9,♦7,♠9 | Pair
♥A,♥J,♣9,♦K,♦9 | Pair
♥A,♥J,♣9,♦K,♠9 | Pair
♥A,♥J,♣9,♣3,♦3 | Pair
♥A,♥J,♣9,♣3,♦9 | Pair
♥A,♥J,♣9,♣3,♠9 | Pair
♥A,♥J,♣9,♣7,♦9 | Pair
♥A,♥J,♣9,♣7,♠9 | Pair
♥A,♥J,♣9,♥Q,♦9 | Pair
♥A,♥J,♣9,♥Q,♠9 | Pair
♥A,♥J,♣9,♦3,♦9 | Pair
♥A,♥J,♣9,♦3,♠9 | Pair
♥A,♥J,♣9,♥10,♦9 | Pair
♥A,♥J,♣9,♥10,♠9 | Pair
♥A,♥J,♣9,♦9,♠9 | Three Of A Kind
♥A,♥J,♣9,♦9,♠6 | Pair
♥A,♥J,♣9,♠9,♠6 | Pair
♥A,♥J,♦7,♦K,♣7 | Pair
♥A,♥J,♦7,♣3,♣7 | Pair
♥A,♥J,♦7,♣3,♦3 | Pair
♥A,♥J,♦7,♣7,♥Q | Pair
♥A,♥J,♦7,♣7,♦3 | Pair
♥A,♥J,♦7,♣7,♥10 | Pair
♥A,♥J,♦7,♣7,♦9 | Pair
♥A,♥J,♦7,♣7,♠9 | Pair
♥A,♥J,♦7,♣7,♠6 | Pair
♥A,♥J,♦7,♦9,♠9 | Pair
♥A,♥J,♦K,♣3,♦3 | Pair
♥A,♥J,♦K,♥Q,♥10 | Straight
♥A,♥J,♦K,♦9,♠9 | Pair
♥A,♥J,♣3,♣7,♦3 | Pair
♥A,♥J,♣3,♥Q,♦3 | Pair
♥A,♥J,♣3,♦3,♥10 | Pair
♥A,♥J,♣3,♦3,♦9 | Pair
♥A,♥J,♣3,♦3,♠9 | Pair
♥A,♥J,♣3,♦3,♠6 | Pair
♥A,♥J,♣3,♦9,♠9 | Pair
♥A,♥J,♣7,♦9,♠9 | Pair
♥A,♥J,♥Q,♦9,♠9 | Pair
♥A,♥J,♦3,♦9,♠9 | Pair
♥A,♥J,♥10,♦9,♠9 | Pair
♥A,♥J,♦9,♠9,♠6 | Pair
♥A,♣5,♣9,♦7,♣7 | Pair
♥A,♣5,♣9,♦7,♦9 | Pair
♥A,♣5,♣9,♦7,♠9 | Pair
♥A,♣5,♣9,♦K,♦9 | Pair
♥A,♣5,♣9,♦K,♠9 | Pair
♥A,♣5,♣9,♣3,♦3 | Pair
♥A,♣5,♣9,♣3,♦9 | Pair
♥A,♣5,♣9,♣3,♠9 | Pair
♥A,♣5,♣9,♣7,♦9 | Pair
♥A,♣5,♣9,♣7,♠9 | Pair
♥A,♣5,♣9,♥Q,♦9 | Pair
♥A,♣5,♣9,♥Q,♠9 | Pair
♥A,♣5,♣9,♦3,♦9 | Pair
♥A,♣5,♣9,♦3,♠9 | Pair
♥A,♣5,♣9,♥10,♦9 | Pair
♥A,♣5,♣9,♥10,♠9 | Pair
♥A,♣5,♣9,♦9,♠9 | Three Of A Kind
♥A,♣5,♣9,♦9,♠6 | Pair
♥A,♣5,♣9,♠9,♠6 | Pair
♥A,♣5,♦7,♦K,♣7 | Pair
♥A,♣5,♦7,♣3,♣7 | Pair
♥A,♣5,♦7,♣3,♦3 | Pair
♥A,♣5,♦7,♣7,♥Q | Pair
♥A,♣5,♦7,♣7,♦3 | Pair
♥A,♣5,♦7,♣7,♥10 | Pair
♥A,♣5,♦7,♣7,♦9 | Pair
♥A,♣5,♦7,♣7,♠9 | Pair
♥A,♣5,♦7,♣7,♠6 | Pair
♥A,♣5,♦7,♦9,♠9 | Pair
♥A,♣5,♦K,♣3,♦3 | Pair
♥A,♣5,♦K,♦9,♠9 | Pair
♥A,♣5,♣3,♣7,♦3 | Pair
♥A,♣5,♣3,♥Q,♦3 | Pair
♥A,♣5,♣3,♦3,♥10 | Pair
♥A,♣5,♣3,♦3,♦9 | Pair
♥A,♣5,♣3,♦3,♠9 | Pair
♥A,♣5,♣3,♦3,♠6 | Pair
♥A,♣5,♣3,♦9,♠9 | Pair
♥A,♣5,♣7,♦9,♠9 | Pair
♥A,♣5,♥Q,♦9,♠9 | Pair
♥A,♣5,♦3,♦9,♠9 | Pair
♥A,♣5,♥10,♦9,♠9 | Pair
♥A,♣5,♦9,♠9,♠6 | Pair
♥A,♣9,♦7,♦K,♣7 | Pair
♥A,♣9,♦7,♦K,♦9 | Pair
♥A,♣9,♦7,♦K,♠9 | Pair
♥A,♣9,♦7,♣3,♣7 | Pair
♥A,♣9,♦7,♣3,♦3 | Pair
♥A,♣9,♦7,♣3,♦9 | Pair
♥A,♣9,♦7,♣3,♠9 | Pair
♥A,♣9,♦7,♣7,♥Q | Pair
♥A,♣9,♦7,♣7,♦3 | Pair
♥A,♣9,♦7,♣7,♥10 | Pair
♥A,♣9,♦7,♣7,♦9 | Two Pairs
♥A,♣9,♦7,♣7,♠9 | Two Pairs
♥A,♣9,♦7,♣7,♠6 | Pair
♥A,♣9,♦7,♥Q,♦9 | Pair
♥A,♣9,♦7,♥Q,♠9 | Pair
♥A,♣9,♦7,♦3,♦9 | Pair
♥A,♣9,♦7,♦3,♠9 | Pair
♥A,♣9,♦7,♥10,♦9 | Pair
♥A,♣9,♦7,♥10,♠9 | Pair
♥A,♣9,♦7,♦9,♠9 | Three Of A Kind
♥A,♣9,♦7,♦9,♠6 | Pair
♥A,♣9,♦7,♠9,♠6 | Pair
♥A,♣9,♦K,♣3,♦3 | Pair
♥A,♣9,♦K,♣3,♦9 | Pair
♥A,♣9,♦K,♣3,♠9 | Pair
♥A,♣9,♦K,♣7,♦9 | Pair
♥A,♣9,♦K,♣7,♠9 | Pair
♥A,♣9,♦K,♥Q,♦9 | Pair
♥A,♣9,♦K,♥Q,♠9 | Pair
♥A,♣9,♦K,♦3,♦9 | Pair
♥A,♣9,♦K,♦3,♠9 | Pair
♥A,♣9,♦K,♥10,♦9 | Pair
♥A,♣9,♦K,♥10,♠9 | Pair
♥A,♣9,♦K,♦9,♠9 | Three Of A Kind
♥A,♣9,♦K,♦9,♠6 | Pair
♥A,♣9,♦K,♠9,♠6 | Pair
♥A,♣9,♣3,♣7,♦3 | Pair
♥A,♣9,♣3,♣7,♦9 | Pair
♥A,♣9,♣3,♣7,♠9 | Pair
♥A,♣9,♣3,♥Q,♦3 | Pair
♥A,♣9,♣3,♥Q,♦9 | Pair
♥A,♣9,♣3,♥Q,♠9 | Pair
♥A,♣9,♣3,♦3,♥10 | Pair
♥A,♣9,♣3,♦3,♦9 | Two Pairs
♥A,♣9,♣3,♦3,♠9 | Two Pairs
♥A,♣9,♣3,♦3,♠6 | Pair
♥A,♣9,♣3,♥10,♦9 | Pair
♥A,♣9,♣3,♥10,♠9 | Pair
♥A,♣9,♣3,♦9,♠9 | Three Of A Kind
♥A,♣9,♣3,♦9,♠6 | Pair
♥A,♣9,♣3,♠9,♠6 | Pair
♥A,♣9,♣7,♥Q,♦9 | Pair
♥A,♣9,♣7,♥Q,♠9 | Pair
♥A,♣9,♣7,♦3,♦9 | Pair
♥A,♣9,♣7,♦3,♠9 | Pair
♥A,♣9,♣7,♥10,♦9 | Pair
♥A,♣9,♣7,♥10,♠9 | Pair
♥A,♣9,♣7,♦9,♠9 | Three Of A Kind
♥A,♣9,♣7,♦9,♠6 | Pair
♥A,♣9,♣7,♠9,♠6 | Pair
♥A,♣9,♥Q,♦3,♦9 | Pair
♥A,♣9,♥Q,♦3,♠9 | Pair
♥A,♣9,♥Q,♥10,♦9 | Pair
♥A,♣9,♥Q,♥10,♠9 | Pair
♥A,♣9,♥Q,♦9,♠9 | Three Of A Kind
♥A,♣9,♥Q,♦9,♠6 | Pair
♥A,♣9,♥Q,♠9,♠6 | Pair
♥A,♣9,♦3,♥10,♦9 | Pair
♥A,♣9,♦3,♥10,♠9 | Pair
♥A,♣9,♦3,♦9,♠9 | Three Of A Kind
♥A,♣9,♦3,♦9,♠6 | Pair
