♠6,♥8,♦J,♥10,♦6 | Pair
♠6,♠7,♠5,♣9,♣5 | Pair
♠6,♠5,♣Q,♣9,♣5 | Pair
♥8,♦J,♥10,♣7,♦7 | Pair
♥8,♦J,♥10,♣7,♠7 | Pair
♥8,♦J,♥10,♣7,♣9 | Straight
♥8,♦J,♥10,♦Q,♣Q | Pair
♥8,♦J,♥10,♦Q,♣9 | Straight
♥8,♦J,♥10,♦7,♠7 | Pair
♥8,♦J,♥10,♦7,♣9 | Straight
♥8,♦J,♥10,♠7,♣9 | Straight
♥8,♦J,♥10,♠5,♣5 | Pair
♥8,♦J,♥10,♣Q,♣9 | Straight
♥8,♦J,♣7,♦Q,♦7 | Pair
♥8,♦J,♣7,♦Q,♠7 | Pair
♥8,♦J,♣7,♦Q,♣Q | Pair
♥8,♦J,♣7,♣K,♦7 | Pair
♥8,♦J,♣7,♣K,♠7 | Pair
♥8,♦J,♣7,♦7,♣2 | Pair
♥8,♦J,♣7,♦7,♦6 | Pair
♥8,♦J,♣7,♦7,♠7 | Three Of A Kind
♥8,♦J,♣7,♦7,♠5 | Pair
♥8,♦J,♣7,♦7,♣Q | Pair
♥8,♦J,♣7,♦7,♣9 | Pair
♥8,♦J,♣7,♦7,♣5 | Pair
♥8,♦J,♣7,♣2,♠7 | Pair
♥8,♦J,♣7,♦6,♠7 | Pair
♥8,♦J,♣7,♠7,♠5 | Pair
♥8,♦J,♣7,♠7,♣Q | Pair
♥8,♦J,♣7,♠7,♣9 | Pair
♥8,♦J,♣7,♠7,♣5 | Pair
♥8,♦J,♣7,♠5,♣5 | Pair
♥8,♦J,♦Q,♣K,♣Q | Pair
♥8,♦J,♦Q,♦7,♠7 | Pair
♥8,♦J,♦Q,♦7,♣Q | Pair
♥8,♦J,♦Q,♣2,♣Q | Pair
♥8,♦J,♦Q,♦6,♣Q | Pair
♥8,♦J,♦Q,♠7,♣Q | Pair
♥8,♦J,♦Q,♠5,♣Q | Pair
♥8,♦J,♦Q,♠5,♣5 | Pair
♥8,♦J,♦Q,♣Q,♣9 | Pair
♥8,♦J,♦Q,♣Q,♣5 | Pair
♥8,♦J,♣K,♦7,♠7 | Pair
♥8,♦J,♣K,♠5,♣5 | Pair
♥8,♦J,♦7,♣2,♠7 | Pair
♥8,♦J,♦7,♦6,♠7 | Pair
♥8,♦J,♦7,♠7,♠5 | Pair
♥8,♦J,♦7,♠7,♣Q | Pair
♥8,♦J,♦7,♠7,♣9 | Pair
♥8,♦J,♦7,♠7,♣5 | Pair
♥8,♦J,♦7,♠5,♣5 | Pair
♥8,♦J,♣2,♠5,♣5 | Pair
♥8,♦J,♦6,♠5,♣5 | Pair
♥8,♦J,♠7,♠5,♣5 | Pair
♥8,♦J,♠5,♣Q,♣5 | Pair
♥8,♦J,♠5,♣9,♣5 | Pair
♥8,♥10,♣7,♦Q,♦7 | Pair
♥8,♥10,♣7,♦Q,♠7 | Pair
♥8,♥10,♣7,♦Q,♣Q | Pair
♥8,♥10,♣7,♣K,♦7 | Pair
♥8,♥10,♣7,♣K,♠7 | Pair
♥8,♥10,♣7,♦7,♣2 | Pair
♥8,♥10,♣7,♦7,♦6 | Pair
♥8,♥10,♣7,♦7,♠7 | Three Of A Kind
♥8,♥10,♣7,♦7,♠5 | Pair
♥8,♥10,♣7,♦7,♣Q | Pair
♥8,♥10,♣7,♦7,♣9 | Pair
♥8,♥10,♣7,♦7,♣5 | Pair
♥8,♥10,♣7,♣2,♠7 | Pair
♥8,♥10,♣7,♦6,♠7 | Pair
♥8,♥10,♣7,♦6,♣9 | Straight
♥8,♥10,♣7,♠7,♠5 | Pair
♥8,♥10,♣7,♠7,♣Q | Pair
♥8,♥10,♣7,♠7,♣9 | Pair
♥8,♥10,♣7,♠7,♣5 | Pair
♥8,♥10,♣7,♠5,♣5 | Pair
♥8,♥10,♦Q,♣K,♣Q | Pair
♥8,♥10,♦Q,♦7,♠7 | Pair
♥8,♥10,♦Q,♦7,♣Q | Pair
♥8,♥10,♦Q,♣2,♣Q | Pair
♥8,♥10,♦Q,♦6,♣Q | Pair
♥8,♥10,♦Q,♠7,♣Q | Pair
♥8,♥10,♦Q,♠5,♣Q | Pair
♥8,♥10,♦Q,♠5,♣5 | Pair
♥8,♥10,♦Q,♣Q,♣9 | Pair
♥8,♥10,♦Q,♣Q,♣5 | Pair
♥8,♥10,♣K,♦7,♠7 | Pair
♥8,♥10,♣K,♠5,♣5 | Pair
♥8,♥10,♦7,♣2,♠7 | Pair
♥8,♥10,♦7,♦6,♠7 | Pair
♥8,♥10,♦7,♦6,♣9 | Straight
♥8,♥10,♦7,♠7,♠5 | Pair
♥8,♥10,♦7,♠7,♣Q | Pair
♥8,♥10,♦7,♠7,♣9 | Pair
♥8,♥10,♦7,♠7,♣5 | Pair
♥8,♥10,♦7,♠5,♣5 | Pair
♥8,♥10,♣2,♠5,♣5 | Pair
♥8,♥10,♦6,♠7,♣9 | Straight
♥8,♥10,♦6,♠5,♣5 | Pair
♥8,♥10,♠7,♠5,♣5 | Pair
♥8,♥10,♠5,♣Q,♣5 | Pair
♥8,♥10,♠5,♣9,♣5 | Pair
♥8,♣7,♦Q,♣K,♦7 | Pair
♥8,♣7,♦Q,♣K,♠7 | Pair
♥8,♣7,♦Q,♣K,♣Q | Pair
♥8,♣7,♦Q,♦7,♣2 | Pair
♥8,♣7,♦Q,♦7,♦6 | Pair
♥8,♣7,♦Q,♦7,♠7 | Three Of A Kind
♥8,♣7,♦Q,♦7,♠5 | Pair
♥8,♣7,♦Q,♦7,♣Q | Two Pairs
♥8,♣7,♦Q,♦7,♣9 | Pair
♥8,♣7,♦Q,♦7,♣5 | Pair
♥8,♣7,♦Q,♣2,♠7 | Pair
♥8,♣7,♦Q,♣2,♣Q | Pair
♥8,♣7,♦Q,♦6,♠7 | Pair
♥8,♣7,♦Q,♦6,♣Q | Pair
♥8,♣7,♦Q,♠7,♠5 | Pair
♥8,♣7,♦Q,♠7,♣Q | Two Pairs
♥8,♣7,♦Q,♠7,♣9 | Pair
♥8,♣7,♦Q,♠7,♣5 | Pair
♥8,♣7,♦Q,♠5,♣Q | Pair
♥8,♣7,♦Q,♠5,♣5 | Pair
♥8,♣7,♦Q,♣Q,♣9 | Pair
♥8,♣7,♦Q,♣Q,♣5 | Pair
♥8,♣7,♣K,♦7,♣2 | Pair
♥8,♣7,♣K,♦7,♦6 | Pair
♥8,♣7,♣K,♦7,♠7 | Three Of A Kind
♥8,♣7,♣K,♦7,♠5 | Pair
♥8,♣7,♣K,♦7,♣Q | Pair
♥8,♣7,♣K,♦7,♣9 | Pair
♥8,♣7,♣K,♦7,♣5 | Pair
♥8,♣7,♣K,♣2,♠7 | Pair
♥8,♣7,♣K,♦6,♠7 | Pair
♥8,♣7,♣K,♠7,♠5 | Pair
♥8,♣7,♣K,♠7,♣Q | Pair
♥8,♣7,♣K,♠7,♣9 | Pair
♥8,♣7,♣K,♠7,♣5 | Pair
♥8,♣7,♣K,♠5,♣5 | Pair
♥8,♣7,♦7,♣2,♦6 | Pair
♥8,♣7,♦7,♣2,♠7 | Three Of A Kind
♥8,♣7,♦7,♣2,♠5 | Pair
♥8,♣7,♦7,♣2,♣Q | Pair
♥8,♣7,♦7,♣2,♣9 | Pair
♥8,♣7,♦7,♣2,♣5 | Pair
♥8,♣7,♦7,♦6,♠7 | Three Of A Kind
♥8,♣7,♦7,♦6,♠5 | Pair
♥8,♣7,♦7,♦6,♣Q | Pair
♥8,♣7,♦7,♦6,♣9 | Pair
♥8,♣7,♦7,♦6,♣5 | Pair
♥8,♣7,♦7,♠7,♠5 | Three Of A Kind
♥8,♣7,♦7,♠7,♣Q | Three Of A Kind
♥8,♣7,♦7,♠7,♣9 | Three Of A Kind
♥8,♣7,♦7,♠7,♣5 | Three Of A Kind
♥8,♣7,♦7,♠5,♣Q | Pair
♥8,♣7,♦7,♠5,♣9 | Pair
♥8,♣7,♦7,♠5,♣5 | Two Pairs
♥8,♣7,♦7,♣Q,♣9 | Pair
♥8,♣7,♦7,♣Q,♣5 | Pair
♥8,♣7,♦7,♣9,♣5 | Pair
♥8,♣7,♣2,♦6,♠7 | Pair
♥8,♣7,♣2,♠7,♠5 | Pair
♥8,♣7,♣2,♠7,♣Q | Pair
♥8,♣7,♣2,♠7,♣9 | Pair
♥8,♣7,♣2,♠7,♣5 | Pair
♥8,♣7,♣2,♠5,♣5 | Pair
♥8,♣7,♦6,♠7,♠5 | Pair
♥8,♣7,♦6,♠7,♣Q | Pair
♥8,♣7,♦6,♠7,♣9 | Pair
♥8,♣7,♦6,♠7,♣5 | Pair
♥8,♣7,♦6,♠5,♣9 | Straight
♥8,♣7,♦6,♠5,♣5 | Pair
♥8,♣7,♦6,♣9,♣5 | Straight
♥8,♣7,♠7,♠5,♣Q | Pair
♥8,♣7,♠7,♠5,♣9 | Pair
♥8,♣7,♠7,♠5,♣5 | Two Pairs
♥8,♣7,♠7,♣Q,♣9 | Pair
♥8,♣7,♠7,♣Q,♣5 | Pair
♥8,♣7,♠7,♣9,♣5 | Pair
♥8,♣7,♠5,♣Q,♣5 | Pair
♥8,♣7,♠5,♣9,♣5 | Pair
♥8,♦Q,♣K,♦7,♠7 | Pair
♥8,♦Q,♣K,♦7,♣Q | Pair
♥8,♦Q,♣K,♣2,♣Q | Pair
♥8,♦Q,♣K,♦6,♣Q | Pair
♥8,♦Q,♣K,♠7,♣Q | Pair
♥8,♦Q,♣K,♠5,♣Q | Pair
♥8,♦Q,♣K,♠5,♣5 | Pair
♥8,♦Q,♣K,♣Q,♣9 | Pair
♥8,♦Q,♣K,♣Q,♣5 | Pair
♥8,♦Q,♦7,♣2,♠7 | Pair
♥8,♦Q,♦7,♣2,♣Q | Pair
♥8,♦Q,♦7,♦6,♠7 | Pair
♥8,♦Q,♦7,♦6,♣Q | Pair
♥8,♦Q,♦7,♠7,♠5 | Pair
♥8,♦Q,♦7,♠7,♣Q | Two Pairs
♥8,♦Q,♦7,♠7,♣9 | Pair
♥8,♦Q,♦7,♠7,♣5 | Pair
♥8,♦Q,♦7,♠5,♣Q | Pair
♥8,♦Q,♦7,♠5,♣5 | Pair
♥8,♦Q,♦7,♣Q,♣9 | Pair
♥8,♦Q,♦7,♣Q,♣5 | Pair
♥8,♦Q,♣2,♦6,♣Q | Pair
♥8,♦Q,♣2,♠7,♣Q | Pair
♥8,♦Q,♣2,♠5,♣Q | Pair
♥8,♦Q,♣2,♠5,♣5 | Pair
♥8,♦Q,♣2,♣Q,♣9 | Pair
♥8,♦Q,♣2,♣Q,♣5 | Pair
♥8,♦Q,♦6,♠7,♣Q | Pair
♥8,♦Q,♦6,♠5,♣Q | Pair
♥8,♦Q,♦6,♠5,♣5 | Pair
♥8,♦Q,♦6,♣Q,♣9 | Pair
♥8,♦Q,♦6,♣Q,♣5 | Pair
♥8,♦Q,♠7,♠5,♣Q | Pair
♥8,♦Q,♠7,♠5,♣5 | Pair
♥8,♦Q,♠7,♣Q,♣9 | Pair
♥8,♦Q,♠7,♣Q,♣5 | Pair
♥8,♦Q,♠5,♣Q,♣9 | Pair
♥8,♦Q,♠5,♣Q,♣5 | Two Pairs
♥8,♦Q,♠5,♣9,♣5 | Pair
♥8,♦Q,♣Q,♣9,♣5 | Pair
♥8,♣K,♦7,♣2,♠7 | Pair
♥8,♣K,♦7,♦6,♠7 | Pair
♥8,♣K,♦7,♠7,♠5 | Pair
♥8,♣K,♦7,♠7,♣Q | Pair
♥8,♣K,♦7,♠7,♣9 | Pair
♥8,♣K,♦7,♠7,♣5 | Pair
♥8,♣K,♦7,♠5,♣5 | Pair
♥8,♣K,♣2,♠5,♣5 | Pair
♥8,♣K,♦6,♠5,♣5 | Pair
♥8,♣K,♠7,♠5,♣5 | Pair
♥8,♣K,♠5,♣Q,♣5 | Pair
♥8,♣K,♠5,♣9,♣5 | Pair
♥8,♦7,♣2,♦6,♠7 | Pair
♥8,♦7,♣2,♠7,♠5 | Pair
♥8,♦7,♣2,♠7,♣Q | Pair
♥8,♦7,♣2,♠7,♣9 | Pair
♥8,♦7,♣2,♠7,♣5 | Pair
♥8,♦7,♣2,♠5,♣5 | Pair
♥8,♦7,♦6,♠7,♠5 | Pair
♥8,♦7,♦6,♠7,♣Q | Pair
♥8,♦7,♦6,♠7,♣9 | Pair
♥8,♦7,♦6,♠7,♣5 | Pair
♥8,♦7,♦6,♠5,♣9 | Straight
♥8,♦7,♦6,♠5,♣5 | Pair
♥8,♦7,♦6,♣9,♣5 | Straight
♥8,♦7,♠7,♠5,♣Q | Pair
♥8,♦7,♠7,♠5,♣9 | Pair
♥8,♦7,♠7,♠5,♣5 | Two Pairs
♥8,♦7,♠7,♣Q,♣9 | Pair
♥8,♦7,♠7,♣Q,♣5 | Pair
♥8,♦7,♠7,♣9,♣5 | Pair
♥8,♦7,♠5,♣Q,♣5 | Pair
♥8,♦7,♠5,♣9,♣5 | Pair
♥8,♣2,♦6,♠5,♣5 | Pair
♥8,♣2,♠7,♠5,♣5 | Pair
♥8,♣2,♠5,♣Q,♣5 | Pair
♥8,♣2,♠5,♣9,♣5 | Pair
♥8,♦6,♠7,♠5,♣9 | Straight
♥8,♦6,♠7,♠5,♣5 | Pair
♥8,♦6,♠7,♣9,♣5 | Straight
♥8,♦6,♠5,♣Q,♣5 | Pair
♥8,♦6,♠5,♣9,♣5 | Pair
♥8,♠7,♠5,♣Q,♣5 | Pair
♥8,♠7,♠5,♣9,♣5 | Pair
♥8,♠5,♣Q,♣9,♣5 | Pair
♦J,♥10,♣7,♦Q,♦7 | Pair
♦J,♥10,♣7,♦Q,♠7 | Pair
♦J,♥10,♣7,♦Q,♣Q | Pair
♦J,♥10,♣7,♣K,♦7 | Pair
♦J,♥10,♣7,♣K,♠7 | Pair
♦J,♥10,♣7,♦7,♣2 | Pair
♦J,♥10,♣7,♦7,♦6 | Pair
♦J,♥10,♣7,♦7,♠7 | Three Of A Kind
♦J,♥10,♣7,♦7,♠5 | Pair
♦J,♥10,♣7,♦7,♣Q | Pair
♦J,♥10,♣7,♦7,♣9 | Pair
♦J,♥10,♣7,♦7,♣5 | Pair
♦J,♥10,♣7,♣2,♠7 | Pair
♦J,♥10,♣7,♦6,♠7 | Pair
♦J,♥10,♣7,♠7,♠5 | Pair
♦J,♥10,♣7,♠7,♣Q | Pair
♦J,♥10,♣7,♠7,♣9 | Pair
♦J,♥10,♣7,♠7,♣5 | Pair
♦J,♥10,♣7,♠5,♣5 | Pair
♦J,♥10,♦Q,♣K,♣Q | Pair
♦J,♥10,♦Q,♣K,♣9 | Straight
♦J,♥10,♦Q,♦7,♠7 | Pair
♦J,♥10,♦Q,♦7,♣Q | Pair
♦J,♥10,♦Q,♣2,♣Q | Pair
♦J,♥10,♦Q,♦6,♣Q | Pair
♦J,♥10,♦Q,♠7,♣Q | Pair
♦J,♥10,♦Q,♠5,♣Q | Pair
♦J,♥10,♦Q,♠5,♣5 | Pair
♦J,♥10,♦Q,♣Q,♣9 | Pair
♦J,♥10,♦Q,♣Q,♣5 | Pair
♦J,♥10,♣K,♦7,♠7 | Pair
♦J,♥10,♣K,♠5,♣5 | Pair
♦J,♥10,♣K,♣Q,♣9 | Straight
♦J,♥10,♦7,♣2,♠7 | Pair
♦J,♥10,♦7,♦6,♠7 | Pair
♦J,♥10,♦7,♠7,♠5 | Pair
♦J,♥10,♦7,♠7,♣Q | Pair
♦J,♥10,♦7,♠7,♣9 | Pair
♦J,♥10,♦7,♠7,♣5 | Pair
♦J,♥10,♦7,♠5,♣5 | Pair
♦J,♥10,♣2,♠5,♣5 | Pair
♦J,♥10,♦6,♠5,♣5 | Pair
♦J,♥10,♠7,♠5,♣5 | Pair
♦J,♥10,♠5,♣Q,♣5 | Pair
♦J,♥10,♠5,♣9,♣5 | Pair
♦J,♣7,♦Q,♣K,♦7 | Pair
♦J,♣7,♦Q,♣K,♠7 | Pair
♦J,♣7,♦Q,♣K,♣Q | Pair
♦J,♣7,♦Q,♦7,♣2 | Pair
♦J,♣7,♦Q,♦7,♦6 | Pair
♦J,♣7,♦Q,♦7,♠7 | Three Of A Kind
♦J,♣7,♦Q,♦7,♠5 | Pair
♦J,♣7,♦Q,♦7,♣Q | Two Pairs
♦J,♣7,♦Q,♦7,♣9 | Pair
♦J,♣7,♦Q,♦7,♣5 | Pair
♦J,♣7,♦Q,♣2,♠7 | Pair
♦J,♣7,♦Q,♣2,♣Q | Pair
♦J,♣7,♦Q,♦6,♠7 | Pair
♦J,♣7,♦Q,♦6,♣Q | Pair
♦J,♣7,♦Q,♠7,♠5 | Pair
♦J,♣7,♦Q,♠7,♣Q | Two Pairs
♦J,♣7,♦Q,♠7,♣9 | Pair
♦J,♣7,♦Q,♠7,♣5 | Pair
♦J,♣7,♦Q,♠5,♣Q | Pair
♦J,♣7,♦Q,♠5,♣5 | Pair
♦J,♣7,♦Q,♣Q,♣9 | Pair
♦J,♣7,♦Q,♣Q,♣5 | Pair
♦J,♣7,♣K,♦7,♣2 | Pair
♦J,♣7,♣K,♦7,♦6 | Pair
♦J,♣7,♣K,♦7,♠7 | Three Of A Kind
♦J,♣7,♣K,♦7,♠5 | Pair
♦J,♣7,♣K,♦7,♣Q | Pair
♦J,♣7,♣K,♦7,♣9 | Pair
♦J,♣7,♣K,♦7,♣5 | Pair
♦J,♣7,♣K,♣2,♠7 | Pair
♦J,♣7,♣K,♦6,♠7 | Pair
♦J,♣7,♣K,♠7,♠5 | Pair
♦J,♣7,♣K,♠7,♣Q | Pair
♦J,♣7,♣K,♠7,♣9 | Pair
♦J,♣7,♣K,♠7,♣5 | Pair
♦J,♣7,♣K,♠5,♣5 | Pair
♦J,♣7,♦7,♣2,♦6 | Pair
♦J,♣7,♦7,♣2,♠7 | Three Of A Kind
♦J,♣7,♦7,♣2,♠5 | Pair
♦J,♣7,♦7,♣2,♣Q | Pair
♦J,♣7,♦7,♣2,♣9 | Pair
♦J,♣7,♦7,♣2,♣5 | Pair
♦J,♣7,♦7,♦6,♠7 | Three Of A Kind
♦J,♣7,♦7,♦6,♠5 | Pair
♦J,♣7,♦7,♦6,♣Q | Pair
♦J,♣7,♦7,♦6,♣9 | Pair
♦J,♣7,♦7,♦6,♣5 | Pair
♦J,♣7,♦7,♠7,♠5 | Three Of A Kind
♦J,♣7,♦7,♠7,♣Q | Three Of A Kind
♦J,♣7,♦7,♠7,♣9 | Three Of A Kind
♦J,♣7,♦7,♠7,♣5 | Three Of A Kind
♦J,♣7,♦7,♠5,♣Q | Pair
♦J,♣7,♦7,♠5,♣9 | Pair
♦J,♣7,♦7,♠5,♣5 | Two Pairs
♦J,♣7,♦7,♣Q,♣9 | Pair
♦J,♣7,♦7,♣Q,♣5 | Pair
♦J,♣7,♦7,♣9,♣5 | Pair
♦J,♣7,♣2,♦6,♠7 | Pair
♦J,♣7,♣2,♠7,♠5 | Pair
♦J,♣7,♣2,♠7,♣Q | Pair
♦J,♣7,♣2,♠7,♣9 | Pair
♦J,♣7,♣2,♠7,♣5 | Pair
♦J,♣7,♣2,♠5,♣5 | Pair
♦J,♣7,♦6,♠7,♠5 | Pair
♦J,♣7,♦6,♠7,♣Q | Pair
♦J,♣7,♦6,♠7,♣9 | Pair
♦J,♣7,♦6,♠7,♣5 | Pair
♦J,♣7,♦6,♠5,♣5 | Pair
♦J,♣7,♠7,♠5,♣Q | Pair
♦J,♣7,♠7,♠5,♣9 | Pair
♦J,♣7,♠7,♠5,♣5 | Two Pairs
♦J,♣7,♠7,♣Q,♣9 | Pair
♦J,♣7,♠7,♣Q,♣5 | Pair
♦J,♣7,♠7,♣9,♣5 | Pair
♦J,♣7,♠5,♣Q,♣5 | Pair
♦J,♣7,♠5,♣9,♣5 | Pair
♦J,♦Q,♣K,♦7,♠7 | Pair
♦J,♦Q,♣K,♦7,♣Q | Pair
♦J,♦Q,♣K,♣2,♣Q | Pair
♦J,♦Q,♣K,♦6,♣Q | Pair
♦J,♦Q,♣K,♠7,♣Q | Pair
♦J,♦Q,♣K,♠5,♣Q | Pair
♦J,♦Q,♣K,♠5,♣5 | Pair
♦J,♦Q,♣K,♣Q,♣9 | Pair
♦J,♦Q,♣K,♣Q,♣5 | Pair
♦J,♦Q,♦7,♣2,♠7 | Pair
♦J,♦Q,♦7,♣2,♣Q | Pair
♦J,♦Q,♦7,♦6,♠7 | Pair
♦J,♦Q,♦7,♦6,♣Q | Pair
♦J,♦Q,♦7,♠7,♠5 | Pair
♦J,♦Q,♦7,♠7,♣Q | Two Pairs
♦J,♦Q,♦7,♠7,♣9 | Pair
♦J,♦Q,♦7,♠7,♣5 | Pair
♦J,♦Q,♦7,♠5,♣Q | Pair
♦J,♦Q,♦7,♠5,♣5 | Pair
♦J,♦Q,♦7,♣Q,♣9 | Pair
♦J,♦Q,♦7,♣Q,♣5 | Pair
♦J,♦Q,♣2,♦6,♣Q | Pair
♦J,♦Q,♣2,♠7,♣Q | Pair
♦J,♦Q,♣2,♠5,♣Q | Pair
♦J,♦Q,♣2,♠5,♣5 | Pair
♦J,♦Q,♣2,♣Q,♣9 | Pair
♦J,♦Q,♣2,♣Q,♣5 | Pair
♦J,♦Q,♦6,♠7,♣Q | Pair
♦J,♦Q,♦6,♠5,♣Q | Pair
♦J,♦Q,♦6,♠5,♣5 | Pair
♦J,♦Q,♦6,♣Q,♣9 | Pair
♦J,♦Q,♦6,♣Q,♣5 | Pair
♦J,♦Q,♠7,♠5,♣Q | Pair
♦J,♦Q,♠7,♠5,♣5 | Pair
♦J,♦Q,♠7,♣Q,♣9 | Pair
♦J,♦Q,♠7,♣Q,♣5 | Pair
♦J,♦Q,♠5,♣Q,♣9 | Pair
♦J,♦Q,♠5,♣Q,♣5 | Two Pairs
♦J,♦Q,♠5,♣9,♣5 | Pair
♦J,♦Q,♣Q,♣9,♣5 | Pair
♦J,♣K,♦7,♣2,♠7 | Pair
♦J,♣K,♦7,♦6,♠7 | Pair
♦J,♣K,♦7,♠7,♠5 | Pair
♦J,♣K,♦7,♠7,♣Q | Pair
♦J,♣K,♦7,♠7,♣9 | Pair
♦J,♣K,♦7,♠7,♣5 | Pair
♦J,♣K,♦7,♠5,♣5 | Pair
♦J,♣K,♣2,♠5,♣5 | Pair
♦J,♣K,♦6,♠5,♣5 | Pair
♦J,♣K,♠7,♠5,♣5 | Pair
♦J,♣K,♠5,♣Q,♣5 | Pair
♦J,♣K,♠5,♣9,♣5 | Pair
♦J,♦7,♣2,♦6,♠7 | Pair
♦J,♦7,♣2,♠7,♠5 | Pair
♦J,♦7,♣2,♠7,♣Q | Pair
♦J,♦7,♣2,♠7,♣9 | Pair
♦J,♦7,♣2,♠7,♣5 | Pair
♦J,♦7,♣2,♠5,♣5 | Pair
♦J,♦7,♦6,♠7,♠5 | Pair
♦J,♦7,♦6,♠7,♣Q | Pair
♦J,♦7,♦6,♠7,♣9 | Pair
♦J,♦7,♦6,♠7,♣5 | Pair
♦J,♦7,♦6,♠5,♣5 | Pair
♦J,♦7,♠7,♠5,♣Q | Pair
♦J,♦7,♠7,♠5,♣9 | Pair
♦J,♦7,♠7,♠5,♣5 | Two Pairs
♦J,♦7,♠7,♣Q,♣9 | Pair
♦J,♦7,♠7,♣Q,♣5 | Pair
♦J,♦7,♠7,♣9,♣5 | Pair
♦J,♦7,♠5,♣Q,♣5 | Pair
♦J,♦7,♠5,♣9,♣5 | Pair
♦J,♣2,♦6,♠5,♣5 | Pair
♦J,♣2,♠7,♠5,♣5 | Pair
♦J,♣2,♠5,♣Q,♣5 | Pair
♦J,♣2,♠5,♣9,♣5 | Pair
♦J,♦6,♠7,♠5,♣5 | Pair
♦J,♦6,♠5,♣Q,♣5 | Pair
♦J,♦6,♠5,♣9,♣5 | Pair
♦J,♠7,♠5,♣Q,♣5 | Pair
♦J,♠7,♠5,♣9,♣5 | Pair
♦J,♠5,♣Q,♣9,♣5 | Pair
♥10,♣7,♦Q,♣K,♦7 | Pair
♥10,♣7,♦Q,♣K,♠7 | Pair
♥10,♣7,♦Q,♣K,♣Q | Pair
♥10,♣7,♦Q,♦7,♣2 | Pair
♥10,♣7,♦Q,♦7,♦6 | Pair
♥10,♣7,♦Q,♦7,♠7 | Three Of A Kind
♥10,♣7,♦Q,♦7,♠5 | Pair
♥10,♣7,♦Q,♦7,♣Q | Two Pairs
♥10,♣7,♦Q,♦7,♣9 | Pair
♥10,♣7,♦Q,♦7,♣5 | Pair
♥10,♣7,♦Q,♣2,♠7 | Pair
♥10,♣7,♦Q,♣2,♣Q | Pair
♥10,♣7,♦Q,♦6,♠7 | Pair
♥10,♣7,♦Q,♦6,♣Q | Pair
♥10,♣7,♦Q,♠7,♠5 | Pair
♥10,♣7,♦Q,♠7,♣Q | Two Pairs
♥10,♣7,♦Q,♠7,♣9 | Pair
♥10,♣7,♦Q,♠7,♣5 | Pair
♥10,♣7,♦Q,♠5,♣Q | Pair
♥10,♣7,♦Q,♠5,♣5 | Pair
♥10,♣7,♦Q,♣Q,♣9 | Pair
♥10,♣7,♦Q,♣Q,♣5 | Pair
♥10,♣7,♣K,♦7,♣2 | Pair
♥10,♣7,♣K,♦7,♦6 | Pair
♥10,♣7,♣K,♦7,♠7 | Three Of A Kind
♥10,♣7,♣K,♦7,♠5 | Pair
♥10,♣7,♣K,♦7,♣Q | Pair
♥10,♣7,♣K,♦7,♣9 | Pair
♥10,♣7,♣K,♦7,♣5 | Pair
♥10,♣7,♣K,♣2,♠7 | Pair
♥10,♣7,♣K,♦6,♠7 | Pair
♥10,♣7,♣K,♠7,♠5 | Pair
♥10,♣7,♣K,♠7,♣Q | Pair
♥10,♣7,♣K,♠7,♣9 | Pair
♥10,♣7,♣K,♠7,♣5 | Pair
♥10,♣7,♣K,♠5,♣5 | Pair
♥10,♣7,♦7,♣2,♦6 | Pair
♥10,♣7,♦7,♣2,♠7 | Three Of A Kind
♥10,♣7,♦7,♣2,♠5 | Pair
♥10,♣7,♦7,♣2,♣Q | Pair
♥10,♣7,♦7,♣2,♣9 | Pair
♥10,♣7,♦7,♣2,♣5 | Pair
♥10,♣7,♦7,♦6,♠7 | Three Of A Kind
♥10,♣7,♦7,♦6,♠5 | Pair
♥10,♣7,♦7,♦6,♣Q | Pair
♥10,♣7,♦7,♦6,♣9 | Pair
♥10,♣7,♦7,♦6,♣5 | Pair
♥10,♣7,♦7,♠7,♠5 | Three Of A Kind
♥10,♣7,♦7,♠7,♣Q | Three Of A Kind
♥10,♣7,♦7,♠7,♣9 | Three Of A Kind
♥10,♣7,♦7,♠7,♣5 | Three Of A Kind
♥10,♣7,♦7,♠5,♣Q | Pair
♥10,♣7,♦7,♠5,♣9 | Pair
♥10,♣7,♦7,♠5,♣5 | Two Pairs
♥10,♣7,♦7,♣Q,♣9 | Pair
♥10,♣7,♦7,♣Q,♣5 | Pair
♥10,♣7,♦7,♣9,♣5 | Pair
♥10,♣7,♣2,♦6,♠7 | Pair
♥10,♣7,♣2,♠7,♠5 | Pair
♥10,♣7,♣2,♠7,♣Q | Pair
♥10,♣7,♣2,♠7,♣9 | Pair
♥10,♣7,♣2,♠7,♣5 | Pair
♥10,♣7,♣2,♠5,♣5 | Pair
♥10,♣7,♦6,♠7,♠5 | Pair
♥10,♣7,♦6,♠7,♣Q | Pair
♥10,♣7,♦6,♠7,♣9 | Pair
♥10,♣7,♦6,♠7,♣5 | Pair
♥10,♣7,♦6,♠5,♣5 | Pair
♥10,♣7,♠7,♠5,♣Q | Pair
♥10,♣7,♠7,♠5,♣9 | Pair
♥10,♣7,♠7,♠5,♣5 | Two Pairs
♥10,♣7,♠7,♣Q,♣9 | Pair
♥10,♣7,♠7,♣Q,♣5 | Pair
♥10,♣7,♠7,♣9,♣5 | Pair
