♥J,♣J,♦4,♥10,♥2 | Pair
♥2,♣8,♦9,♠2,♥6 | Pair
♥2,♣8,♦9,♠2,♦8 | Two Pairs
♥2,♣8,♦9,♠2,♠K | Pair
♥2,♣8,♦9,♥4,♦8 | Pair
♥2,♣8,♦9,♥6,♦8 | Pair
♥2,♣8,♦9,♦8,♠K | Pair
♥2,♣8,♠2,♥4,♥6 | Pair
♥2,♣8,♠2,♥4,♦8 | Two Pairs
♥2,♣8,♠2,♥4,♠K | Pair
♥2,♣8,♠2,♥6,♦8 | Two Pairs
♥2,♣8,♠2,♥6,♠K | Pair
♥2,♣8,♠2,♦8,♠K | Two Pairs
♥2,♣8,♥4,♥6,♦8 | Pair
♥2,♣8,♥4,♦8,♠K | Pair
♥2,♣8,♥6,♦8,♠K | Pair
♥2,♦7,♦9,♠2,♥4 | Pair
♥2,♦7,♦9,♠2,♥6 | Pair
♥2,♦7,♦9,♠2,♦8 | Pair
♥2,♦7,♦9,♠2,♠K | Pair
♥2,♦7,♠2,♥4,♥6 | Pair
♥2,♦7,♠2,♥4,♦8 | Pair
♥2,♦7,♠2,♥4,♠K | Pair
♥2,♦7,♠2,♥6,♦8 | Pair
♥2,♦7,♠2,♥6,♠K | Pair
♥2,♦7,♠2,♦8,♠K | Pair
♥2,♦9,♠2,♥4,♥6 | Pair
♥2,♦9,♠2,♥4,♦8 | Pair
♥2,♦9,♠2,♥4,♠K | Pair
♥2,♦9,♠2,♥6,♦8 | Pair
♥2,♦9,♠2,♥6,♠K | Pair
♥2,♦9,♠2,♦8,♠K | Pair
♥2,♠2,♥4,♥6,♦8 | Pair
♥2,♠2,♥4,♥6,♠K | Pair
♥2,♠2,♥4,♦8,♠K | Pair
♥2,♠2,♥6,♦8,♠K | Pair
♣8,♦7,♦9,♠2,♦8 | Pair
♣8,♦7,♦9,♥4,♦8 | Pair
♣8,♦7,♦9,♥6,♦8 | Pair
♣8,♦7,♦9,♦8,♠K | Pair
♣8,♦7,♠2,♥4,♦8 | Pair
♣8,♦7,♠2,♥6,♦8 | Pair
♣8,♦7,♠2,♦8,♠K | Pair
♣8,♦7,♥4,♥6,♦8 | Pair
♣8,♦7,♥4,♦8,♠K | Pair
♣8,♦7,♥6,♦8,♠K | Pair
♣8,♦9,♠2,♥4,♦8 | Pair
♣8,♦9,♠2,♥6,♦8 | Pair
♣8,♦9,♠2,♦8,♠K | Pair
♣8,♦9,♥4,♥6,♦8 | Pair
♣8,♦9,♥4,♦8,♠K | Pair
♣8,♦9,♥6,♦8,♠K | Pair
♣8,♠2,♥4,♥6,♦8 | Pair
♣8,♠2,♥4,♦8,♠K | Pair
♣8,♠2,♥6,♦8,♠K | Pair
♣8,♥4,♥6,♦8,♠K | Pair
