♠10,♣Q,♣8,♣10,♣7 | Pair
♣8,♣3,♠5,♥8,♣4 | Pair
♣8,♣3,♠5,♥8,♣2 | Pair
♣8,♣3,♠5,♥8,♦J | Pair
♣8,♣3,♠5,♥2,♣2 | Pair
♣8,♣3,♥8,♥2,♣4 | Pair
♣8,♣3,♥8,♥2,♣2 | Two Pairs
♣8,♣3,♥8,♥2,♦J | Pair
♣8,♣3,♥8,♣4,♣2 | Pair
♣8,♣3,♥8,♣4,♦J | Pair
♣8,♣3,♥8,♣2,♦J | Pair
♣8,♣3,♥2,♣4,♣2 | Pair
♣8,♣3,♥2,♣2,♦J | Pair
♣8,♠5,♥8,♥2,♣4 | Pair
♣8,♠5,♥8,♥2,♣2 | Two Pairs
♣8,♠5,♥8,♥2,♦J | Pair
♣8,♠5,♥8,♣4,♣2 | Pair
♣8,♠5,♥8,♣4,♦J | Pair
♣8,♠5,♥8,♣2,♦J | Pair
♣8,♠5,♥2,♣4,♣2 | Pair
♣8,♠5,♥2,♣2,♦J | Pair
♣8,♥8,♥2,♣4,♣2 | Two Pairs
♣8,♥8,♥2,♣4,♦J | Pair
♣8,♥8,♥2,♣2,♦J | Two Pairs
♣8,♥8,♣4,♣2,♦J | Pair
♣8,♥2,♣4,♣2,♦J | Pair
♣10,♣7,♠2,♣3,♥2 | Pair
♣10,♣7,♠2,♣3,♣2 | Pair
♣10,♣7,♠2,♠5,♥2 | Pair
♣10,♣7,♠2,♠5,♣2 | Pair
♣10,♣7,♠2,♥8,♥2 | Pair
♣10,♣7,♠2,♥8,♣2 | Pair
♣10,♣7,♠2,♥2,♣4 | Pair
♣10,♣7,♠2,♥2,♣2 | Three Of A Kind
♣10,♣7,♠2,♥2,♦J | Pair
♣10,♣7,♠2,♣4,♣2 | Pair
♣10,♣7,♠2,♣2,♦J | Pair
♣10,♣7,♣3,♥2,♣2 | Pair
♣10,♣7,♣3,♣4,♣2 | Flush
♣10,♣7,♠5,♥2,♣2 | Pair
♣10,♣7,♥8,♥2,♣2 | Pair
♣10,♣7,♥2,♣4,♣2 | Pair
♣10,♣7,♥2,♣2,♦J | Pair
♣10,♠2,♣3,♠5,♥2 | Pair
♣10,♠2,♣3,♠5,♣2 | Pair
♣10,♠2,♣3,♥8,♥2 | Pair
♣10,♠2,♣3,♥8,♣2 | Pair
♣10,♠2,♣3,♥2,♣4 | Pair
♣10,♠2,♣3,♥2,♣2 | Three Of A Kind
♣10,♠2,♣3,♥2,♦J | Pair
♣10,♠2,♣3,♣4,♣2 | Pair
♣10,♠2,♣3,♣2,♦J | Pair
♣10,♠2,♠5,♥8,♥2 | Pair
♣10,♠2,♠5,♥8,♣2 | Pair
♣10,♠2,♠5,♥2,♣4 | Pair
♣10,♠2,♠5,♥2,♣2 | Three Of A Kind
♣10,♠2,♠5,♥2,♦J | Pair
♣10,♠2,♠5,♣4,♣2 | Pair
♣10,♠2,♠5,♣2,♦J | Pair
♣10,♠2,♥8,♥2,♣4 | Pair
♣10,♠2,♥8,♥2,♣2 | Three Of A Kind
♣10,♠2,♥8,♥2,♦J | Pair
♣10,♠2,♥8,♣4,♣2 | Pair
♣10,♠2,♥8,♣2,♦J | Pair
♣10,♠2,♥2,♣4,♣2 | Three Of A Kind
♣10,♠2,♥2,♣4,♦J | Pair
♣10,♠2,♥2,♣2,♦J | Three Of A Kind
♣10,♠2,♣4,♣2,♦J | Pair
♣10,♣3,♠5,♥2,♣2 | Pair
♣10,♣3,♥8,♥2,♣2 | Pair
♣10,♣3,♥2,♣4,♣2 | Pair
♣10,♣3,♥2,♣2,♦J | Pair
♣10,♠5,♥8,♥2,♣2 | Pair
♣10,♠5,♥2,♣4,♣2 | Pair
♣10,♠5,♥2,♣2,♦J | Pair
♣10,♥8,♥2,♣4,♣2 | Pair
♣10,♥8,♥2,♣2,♦J | Pair
♣10,♥2,♣4,♣2,♦J | Pair
♣7,♠2,♣3,♠5,♥2 | Pair
♣7,♠2,♣3,♠5,♣2 | Pair
♣7,♠2,♣3,♥8,♥2 | Pair
♣7,♠2,♣3,♥8,♣2 | Pair
♣7,♠2,♣3,♥2,♣4 | Pair
♣7,♠2,♣3,♥2,♣2 | Three Of A Kind
♣7,♠2,♣3,♥2,♦J | Pair
♣7,♠2,♣3,♣4,♣2 | Pair
♣7,♠2,♣3,♣2,♦J | Pair
♣7,♠2,♠5,♥8,♥2 | Pair
♣7,♠2,♠5,♥8,♣2 | Pair
♣7,♠2,♠5,♥2,♣4 | Pair
♣7,♠2,♠5,♥2,♣2 | Three Of A Kind
♣7,♠2,♠5,♥2,♦J | Pair
♣7,♠2,♠5,♣4,♣2 | Pair
♣7,♠2,♠5,♣2,♦J | Pair
♣7,♠2,♥8,♥2,♣4 | Pair
♣7,♠2,♥8,♥2,♣2 | Three Of A Kind
♣7,♠2,♥8,♥2,♦J | Pair
♣7,♠2,♥8,♣4,♣2 | Pair
♣7,♠2,♥8,♣2,♦J | Pair
♣7,♠2,♥2,♣4,♣2 | Three Of A Kind
♣7,♠2,♥2,♣4,♦J | Pair
♣7,♠2,♥2,♣2,♦J | Three Of A Kind
♣7,♠2,♣4,♣2,♦J | Pair
♣7,♣3,♠5,♥2,♣2 | Pair
♣7,♣3,♥8,♥2,♣2 | Pair
♣7,♣3,♥2,♣4,♣2 | Pair
♣7,♣3,♥2,♣2,♦J | Pair
♣7,♠5,♥8,♥2,♣2 | Pair
♣7,♠5,♥2,♣4,♣2 | Pair
♣7,♠5,♥2,♣2,♦J | Pair
♣7,♥8,♥2,♣4,♣2 | Pair
♣7,♥8,♥2,♣2,♦J | Pair
♣7,♥2,♣4,♣2,♦J | Pair
♠2,♣3,♠5,♥8,♥2 | Pair
♠2,♣3,♠5,♥8,♣2 | Pair
♠2,♣3,♠5,♥2,♣4 | Pair
♠2,♣3,♠5,♥2,♣2 | Three Of A Kind
♠2,♣3,♠5,♥2,♦J | Pair
♠2,♣3,♠5,♣4,♣2 | Pair
♠2,♣3,♠5,♣2,♦J | Pair
♠2,♣3,♥8,♥2,♣4 | Pair
♠2,♣3,♥8,♥2,♣2 | Three Of A Kind
♠2,♣3,♥8,♥2,♦J | Pair
♠2,♣3,♥8,♣4,♣2 | Pair
♠2,♣3,♥8,♣2,♦J | Pair
♠2,♣3,♥2,♣4,♣2 | Three Of A Kind
♠2,♣3,♥2,♣4,♦J | Pair
♠2,♣3,♥2,♣2,♦J | Three Of A Kind
♠2,♣3,♣4,♣2,♦J | Pair
♠2,♠5,♥8,♥2,♣4 | Pair
♠2,♠5,♥8,♥2,♣2 | Three Of A Kind
♠2,♠5,♥8,♥2,♦J | Pair
♠2,♠5,♥8,♣4,♣2 | Pair
♠2,♠5,♥8,♣2,♦J | Pair
♠2,♠5,♥2,♣4,♣2 | Three Of A Kind
♠2,♠5,♥2,♣4,♦J | Pair
♠2,♠5,♥2,♣2,♦J | Three Of A Kind
♠2,♠5,♣4,♣2,♦J | Pair
♠2,♥8,♥2,♣4,♣2 | Three Of A Kind
♠2,♥8,♥2,♣4,♦J | Pair
♠2,♥8,♥2,♣2,♦J | Three Of A Kind
♠2,♥8,♣4,♣2,♦J | Pair
♠2,♥2,♣4,♣2,♦J | Three Of A Kind
♣3,♠5,♥8,♥2,♣2 | Pair
♣3,♠5,♥2,♣4,♣2 | Pair
♣3,♠5,♥2,♣2,♦J | Pair
♣3,♥8,♥2,♣4,♣2 | Pair
♣3,♥8,♥2,♣2,♦J | Pair
♣3,♥2,♣4,♣2,♦J | Pair
♠5,♥8,♥2,♣4,♣2 | Pair
♠5,♥8,♥2,♣2,♦J | Pair
♠5,♥2,♣4,♣2,♦J | Pair
♥8,♥2,♣4,♣2,♦J | Pair
