♦7,♣Q,♠J,♣3,♥3 | Pair
♥K,♥3,♠K,♣A,♥J | Pair
♥K,♥3,♠K,♣A,♦4 | Pair
♥K,♥3,♠K,♣A,♥4 | Pair
♥K,♥3,♠K,♣A,♥8 | Pair
♥K,♥3,♠K,♥J,♦4 | Pair
♥K,♥3,♠K,♥J,♥4 | Pair
♥K,♥3,♠K,♥J,♥8 | Pair
♥K,♥3,♠K,♦4,♥4 | Two Pairs
♥K,♥3,♠K,♦4,♥8 | Pair
♥K,♥3,♠K,♥4,♥8 | Pair
♥K,♥3,♣A,♦4,♥4 | Pair
♥K,♥3,♥J,♦4,♥4 | Pair
♥K,♥3,♥J,♥4,♥8 | Flush
♥K,♥3,♦4,♥4,♥8 | Pair
♥K,♠10,♠K,♣A,♥J | Pair
♥K,♠10,♠K,♣A,♦4 | Pair
♥K,♠10,♠K,♣A,♥4 | Pair
♥K,♠10,♠K,♣A,♥8 | Pair
♥K,♠10,♠K,♥J,♦4 | Pair
♥K,♠10,♠K,♥J,♥4 | Pair
♥K,♠10,♠K,♥J,♥8 | Pair
♥K,♠10,♠K,♦4,♥4 | Two Pairs
♥K,♠10,♠K,♦4,♥8 | Pair
♥K,♠10,♠K,♥4,♥8 | Pair
♥K,♠10,♣A,♦4,♥4 | Pair
♥K,♠10,♥J,♦4,♥4 | Pair
♥K,♠10,♦4,♥4,♥8 | Pair
♥K,♠K,♣A,♥J,♦4 | Pair
♥K,♠K,♣A,♥J,♥4 | Pair
♥K,♠K,♣A,♥J,♥8 | Pair
♥K,♠K,♣A,♦4,♥4 | Two Pairs
♥K,♠K,♣A,♦4,♥8 | Pair
♥K,♠K,♣A,♥4,♥8 | Pair
♥K,♠K,♥J,♦4,♥4 | Two Pairs
♥K,♠K,♥J,♦4,♥8 | Pair
♥K,♠K,♥J,♥4,♥8 | Pair
♥K,♠K,♦4,♥4,♥8 | Two Pairs
♥K,♣A,♥J,♦4,♥4 | Pair
♥K,♣A,♦4,♥4,♥8 | Pair
♥K,♥J,♦4,♥4,♥8 | Pair
♥3,♠10,♠K,♦4,♥4 | Pair
♥3,♠10,♣A,♦4,♥4 | Pair
♥3,♠10,♥J,♦4,♥4 | Pair
♥3,♠10,♦4,♥4,♥8 | Pair
♥3,♠K,♣A,♦4,♥4 | Pair
♥3,♠K,♥J,♦4,♥4 | Pair
♥3,♠K,♦4,♥4,♥8 | Pair
♥3,♣A,♥J,♦4,♥4 | Pair
♥3,♣A,♦4,♥4,♥8 | Pair
♥3,♥J,♦4,♥4,♥8 | Pair
♠10,♠K,♣A,♦4,♥4 | Pair
♠10,♠K,♥J,♦4,♥4 | Pair
♠10,♠K,♦4,♥4,♥8 | Pair
♠10,♣A,♥J,♦4,♥4 | Pair
♠10,♣A,♦4,♥4,♥8 | Pair
♠10,♥J,♦4,♥4,♥8 | Pair
♠K,♣A,♥J,♦4,♥4 | Pair
♠K,♣A,♦4,♥4,♥8 | Pair
♠K,♥J,♦4,♥4,♥8 | Pair
♣A,♥J,♦4,♥4,♥8 | Pair
