♥8,♣4,♥7,♥K,♠8 | Pair
♣4,♣A,♦A,♠3,♠4 | Two Pairs
♣4,♣A,♦A,♠3,♥9 | Pair
♣4,♣A,♦A,♠4,♥9 | Two Pairs
♣4,♣A,♠9,♥4,♠3 | Pair
♣4,♣A,♠9,♥4,♠4 | Three Of A Kind
♣4,♣A,♠9,♥4,♥9 | Two Pairs
♣4,♣A,♠9,♠3,♠4 | Pair
♣4,♣A,♠9,♠3,♥9 | Pair
♣4,♣A,♠9,♠4,♥9 | Two Pairs
♣4,♣A,♥4,♠3,♠4 | Three Of A Kind
♣4,♣A,♥4,♠3,♥9 | Pair
♣4,♣A,♥4,♠4,♥9 | Three Of A Kind
♣4,♣A,♠3,♠4,♥9 | Pair
♣4,♦A,♠9,♥4,♠3 | Pair
♣4,♦A,♠9,♥4,♠4 | Three Of A Kind
♣4,♦A,♠9,♥4,♥9 | Two Pairs
♣4,♦A,♠9,♠3,♠4 | Pair
♣4,♦A,♠9,♠3,♥9 | Pair
♣4,♦A,♠9,♠4,♥9 | Two Pairs
♣4,♦A,♥4,♠3,♠4 | Three Of A Kind
♣4,♦A,♥4,♠3,♥9 | Pair
♣4,♦A,♥4,♠4,♥9 | Three Of A Kind
♣4,♦A,♠3,♠4,♥9 | Pair
♣4,♠9,♥4,♠3,♠4 | Three Of A Kind
♣4,♠9,♥4,♠3,♥9 | Two Pairs
♣4,♠9,♥4,♠4,♥9 | Full House
♣4,♠9,♠3,♠4,♥9 | Two Pairs
♣4,♥4,♠3,♠4,♥9 | Three Of A Kind
♥7,♥K,♠8,♣A,♦A | Pair
♥7,♥K,♠8,♠9,♥9 | Pair
♥7,♥K,♠8,♥4,♠4 | Pair
♥7,♥K,♥10,♣A,♦A | Pair
♥7,♥K,♥10,♠9,♥9 | Pair
♥7,♥K,♥10,♥4,♠4 | Pair
♥7,♥K,♥10,♥4,♥9 | Flush
♥7,♥K,♣A,♦A,♠9 | Pair
♥7,♥K,♣A,♦A,♥4 | Pair
♥7,♥K,♣A,♦A,♠3 | Pair
♥7,♥K,♣A,♦A,♠4 | Pair
♥7,♥K,♣A,♦A,♥9 | Pair
♥7,♥K,♣A,♠9,♥9 | Pair
♥7,♥K,♣A,♥4,♠4 | Pair
♥7,♥K,♦A,♠9,♥9 | Pair
♥7,♥K,♦A,♥4,♠4 | Pair
♥7,♥K,♠9,♥4,♠4 | Pair
♥7,♥K,♠9,♥4,♥9 | Pair
♥7,♥K,♠9,♠3,♥9 | Pair
♥7,♥K,♠9,♠4,♥9 | Pair
♥7,♥K,♥4,♠3,♠4 | Pair
♥7,♥K,♥4,♠4,♥9 | Pair
♥7,♠8,♥10,♣A,♦A | Pair
♥7,♠8,♥10,♠9,♥9 | Pair
♥7,♠8,♥10,♥4,♠4 | Pair
♥7,♠8,♣A,♦A,♠9 | Pair
♥7,♠8,♣A,♦A,♥4 | Pair
♥7,♠8,♣A,♦A,♠3 | Pair
♥7,♠8,♣A,♦A,♠4 | Pair
♥7,♠8,♣A,♦A,♥9 | Pair
♥7,♠8,♣A,♠9,♥9 | Pair
♥7,♠8,♣A,♥4,♠4 | Pair
♥7,♠8,♦A,♠9,♥9 | Pair
♥7,♠8,♦A,♥4,♠4 | Pair
♥7,♠8,♠9,♥4,♠4 | Pair
♥7,♠8,♠9,♥4,♥9 | Pair
♥7,♠8,♠9,♠3,♥9 | Pair
♥7,♠8,♠9,♠4,♥9 | Pair
♥7,♠8,♥4,♠3,♠4 | Pair
♥7,♠8,♥4,♠4,♥9 | Pair
♥7,♥10,♣A,♦A,♠9 | Pair
♥7,♥10,♣A,♦A,♥4 | Pair
♥7,♥10,♣A,♦A,♠3 | Pair
♥7,♥10,♣A,♦A,♠4 | Pair
♥7,♥10,♣A,♦A,♥9 | Pair
♥7,♥10,♣A,♠9,♥9 | Pair
♥7,♥10,♣A,♥4,♠4 | Pair
♥7,♥10,♦A,♠9,♥9 | Pair
♥7,♥10,♦A,♥4,♠4 | Pair
♥7,♥10,♠9,♥4,♠4 | Pair
♥7,♥10,♠9,♥4,♥9 | Pair
♥7,♥10,♠9,♠3,♥9 | Pair
♥7,♥10,♠9,♠4,♥9 | Pair
♥7,♥10,♥4,♠3,♠4 | Pair
♥7,♥10,♥4,♠4,♥9 | Pair
♥7,♣A,♦A,♠9,♥4 | Pair
♥7,♣A,♦A,♠9,♠3 | Pair
♥7,♣A,♦A,♠9,♠4 | Pair
♥7,♣A,♦A,♠9,♥9 | Two Pairs
♥7,♣A,♦A,♥4,♠3 | Pair
♥7,♣A,♦A,♥4,♠4 | Two Pairs
♥7,♣A,♦A,♥4,♥9 | Pair
♥7,♣A,♦A,♠3,♠4 | Pair
♥7,♣A,♦A,♠3,♥9 | Pair
♥7,♣A,♦A,♠4,♥9 | Pair
♥7,♣A,♠9,♥4,♠4 | Pair
♥7,♣A,♠9,♥4,♥9 | Pair
♥7,♣A,♠9,♠3,♥9 | Pair
♥7,♣A,♠9,♠4,♥9 | Pair
♥7,♣A,♥4,♠3,♠4 | Pair
♥7,♣A,♥4,♠4,♥9 | Pair
♥7,♦A,♠9,♥4,♠4 | Pair
♥7,♦A,♠9,♥4,♥9 | Pair
♥7,♦A,♠9,♠3,♥9 | Pair
♥7,♦A,♠9,♠4,♥9 | Pair
♥7,♦A,♥4,♠3,♠4 | Pair
♥7,♦A,♥4,♠4,♥9 | Pair
♥7,♠9,♥4,♠3,♠4 | Pair
♥7,♠9,♥4,♠3,♥9 | Pair
♥7,♠9,♥4,♠4,♥9 | Two Pairs
♥7,♠9,♠3,♠4,♥9 | Pair
♥7,♥4,♠3,♠4,♥9 | Pair
♥K,♠8,♥10,♣A,♦A | Pair
♥K,♠8,♥10,♠9,♥9 | Pair
♥K,♠8,♥10,♥4,♠4 | Pair
♥K,♠8,♣A,♦A,♠9 | Pair
♥K,♠8,♣A,♦A,♥4 | Pair
♥K,♠8,♣A,♦A,♠3 | Pair
♥K,♠8,♣A,♦A,♠4 | Pair
♥K,♠8,♣A,♦A,♥9 | Pair
♥K,♠8,♣A,♠9,♥9 | Pair
♥K,♠8,♣A,♥4,♠4 | Pair
♥K,♠8,♦A,♠9,♥9 | Pair
♥K,♠8,♦A,♥4,♠4 | Pair
♥K,♠8,♠9,♥4,♠4 | Pair
♥K,♠8,♠9,♥4,♥9 | Pair
♥K,♠8,♠9,♠3,♥9 | Pair
♥K,♠8,♠9,♠4,♥9 | Pair
♥K,♠8,♥4,♠3,♠4 | Pair
♥K,♠8,♥4,♠4,♥9 | Pair
♥K,♥10,♣A,♦A,♠9 | Pair
♥K,♥10,♣A,♦A,♥4 | Pair
♥K,♥10,♣A,♦A,♠3 | Pair
♥K,♥10,♣A,♦A,♠4 | Pair
♥K,♥10,♣A,♦A,♥9 | Pair
♥K,♥10,♣A,♠9,♥9 | Pair
♥K,♥10,♣A,♥4,♠4 | Pair
♥K,♥10,♦A,♠9,♥9 | Pair
♥K,♥10,♦A,♥4,♠4 | Pair
♥K,♥10,♠9,♥4,♠4 | Pair
♥K,♥10,♠9,♥4,♥9 | Pair
♥K,♥10,♠9,♠3,♥9 | Pair
♥K,♥10,♠9,♠4,♥9 | Pair
♥K,♥10,♥4,♠3,♠4 | Pair
♥K,♥10,♥4,♠4,♥9 | Pair
♥K,♣A,♦A,♠9,♥4 | Pair
♥K,♣A,♦A,♠9,♠3 | Pair
♥K,♣A,♦A,♠9,♠4 | Pair
♥K,♣A,♦A,♠9,♥9 | Two Pairs
♥K,♣A,♦A,♥4,♠3 | Pair
♥K,♣A,♦A,♥4,♠4 | Two Pairs
♥K,♣A,♦A,♥4,♥9 | Pair
♥K,♣A,♦A,♠3,♠4 | Pair
♥K,♣A,♦A,♠3,♥9 | Pair
♥K,♣A,♦A,♠4,♥9 | Pair
♥K,♣A,♠9,♥4,♠4 | Pair
♥K,♣A,♠9,♥4,♥9 | Pair
♥K,♣A,♠9,♠3,♥9 | Pair
♥K,♣A,♠9,♠4,♥9 | Pair
♥K,♣A,♥4,♠3,♠4 | Pair
♥K,♣A,♥4,♠4,♥9 | Pair
♥K,♦A,♠9,♥4,♠4 | Pair
♥K,♦A,♠9,♥4,♥9 | Pair
♥K,♦A,♠9,♠3,♥9 | Pair
♥K,♦A,♠9,♠4,♥9 | Pair
♥K,♦A,♥4,♠3,♠4 | Pair
♥K,♦A,♥4,♠4,♥9 | Pair
♥K,♠9,♥4,♠3,♠4 | Pair
♥K,♠9,♥4,♠3,♥9 | Pair
♥K,♠9,♥4,♠4,♥9 | Two Pairs
♥K,♠9,♠3,♠4,♥9 | Pair
♥K,♥4,♠3,♠4,♥9 | Pair
♠8,♥10,♣A,♦A,♠9 | Pair
♠8,♥10,♣A,♦A,♥4 | Pair
♠8,♥10,♣A,♦A,♠3 | Pair
♠8,♥10,♣A,♦A,♠4 | Pair
♠8,♥10,♣A,♦A,♥9 | Pair
♠8,♥10,♣A,♠9,♥9 | Pair
♠8,♥10,♣A,♥4,♠4 | Pair
♠8,♥10,♦A,♠9,♥9 | Pair
♠8,♥10,♦A,♥4,♠4 | Pair
♠8,♥10,♠9,♥4,♠4 | Pair
♠8,♥10,♠9,♥4,♥9 | Pair
♠8,♥10,♠9,♠3,♥9 | Pair
♠8,♥10,♠9,♠4,♥9 | Pair
♠8,♥10,♥4,♠3,♠4 | Pair
♠8,♥10,♥4,♠4,♥9 | Pair
♠8,♣A,♦A,♠9,♥4 | Pair
♠8,♣A,♦A,♠9,♠3 | Pair
♠8,♣A,♦A,♠9,♠4 | Pair
♠8,♣A,♦A,♠9,♥9 | Two Pairs
♠8,♣A,♦A,♥4,♠3 | Pair
♠8,♣A,♦A,♥4,♠4 | Two Pairs
♠8,♣A,♦A,♥4,♥9 | Pair
♠8,♣A,♦A,♠3,♠4 | Pair
♠8,♣A,♦A,♠3,♥9 | Pair
♠8,♣A,♦A,♠4,♥9 | Pair
♠8,♣A,♠9,♥4,♠4 | Pair
♠8,♣A,♠9,♥4,♥9 | Pair
♠8,♣A,♠9,♠3,♥9 | Pair
♠8,♣A,♠9,♠4,♥9 | Pair
♠8,♣A,♥4,♠3,♠4 | Pair
♠8,♣A,♥4,♠4,♥9 | Pair
♠8,♦A,♠9,♥4,♠4 | Pair
♠8,♦A,♠9,♥4,♥9 | Pair
♠8,♦A,♠9,♠3,♥9 | Pair
♠8,♦A,♠9,♠4,♥9 | Pair
♠8,♦A,♥4,♠3,♠4 | Pair
♠8,♦A,♥4,♠4,♥9 | Pair
♠8,♠9,♥4,♠3,♠4 | Pair
♠8,♠9,♥4,♠3,♥9 | Pair
♠8,♠9,♥4,♠4,♥9 | Two Pairs
♠8,♠9,♠3,♠4,♥9 | Pair
♠8,♥4,♠3,♠4,♥9 | Pair
♥10,♣A,♦A,♠9,♥4 | Pair
♥10,♣A,♦A,♠9,♠3 | Pair
♥10,♣A,♦A,♠9,♠4 | Pair
♥10,♣A,♦A,♠9,♥9 | Two Pairs
♥10,♣A,♦A,♥4,♠3 | Pair
♥10,♣A,♦A,♥4,♠4 | Two Pairs
♥10,♣A,♦A,♥4,♥9 | Pair
♥10,♣A,♦A,♠3,♠4 | Pair
♥10,♣A,♦A,♠3,♥9 | Pair
♥10,♣A,♦A,♠4,♥9 | Pair
♥10,♣A,♠9,♥4,♠4 | Pair
♥10,♣A,♠9,♥4,♥9 | Pair
♥10,♣A,♠9,♠3,♥9 | Pair
♥10,♣A,♠9,♠4,♥9 | Pair
♥10,♣A,♥4,♠3,♠4 | Pair
♥10,♣A,♥4,♠4,♥9 | Pair
♥10,♦A,♠9,♥4,♠4 | Pair
♥10,♦A,♠9,♥4,♥9 | Pair
♥10,♦A,♠9,♠3,♥9 | Pair
♥10,♦A,♠9,♠4,♥9 | Pair
♥10,♦A,♥4,♠3,♠4 | Pair
♥10,♦A,♥4,♠4,♥9 | Pair
♥10,♠9,♥4,♠3,♠4 | Pair
♥10,♠9,♥4,♠3,♥9 | Pair
♥10,♠9,♥4,♠4,♥9 | Two Pairs
♥10,♠9,♠3,♠4,♥9 | Pair
♥10,♥4,♠3,♠4,♥9 | Pair
♣A,♦A,♠9,♥4,♠3 | Pair
♣A,♦A,♠9,♥4,♠4 | Two Pairs
♣A,♦A,♠9,♥4,♥9 | Two Pairs
♣A,♦A,♠9,♠3,♠4 | Pair
♣A,♦A,♠9,♠3,♥9 | Two Pairs
♣A,♦A,♠9,♠4,♥9 | Two Pairs
♣A,♦A,♥4,♠3,♠4 | Two Pairs
♣A,♦A,♥4,♠3,♥9 | Pair
♣A,♦A,♥4,♠4,♥9 | Two Pairs
♣A,♦A,♠3,♠4,♥9 | Pair
♣A,♠9,♥4,♠3,♠4 | Pair
♣A,♠9,♥4,♠3,♥9 | Pair
♣A,♠9,♥4,♠4,♥9 | Two Pairs
♣A,♠9,♠3,♠4,♥9 | Pair
♣A,♥4,♠3,♠4,♥9 | Pair
♦A,♠9,♥4,♠3,♠4 | Pair
♦A,♠9,♥4,♠3,♥9 | Pair
♦A,♠9,♥4,♠4,♥9 | Two Pairs
♦A,♠9,♠3,♠4,♥9 | Pair
♦A,♥4,♠3,♠4,♥9 | Pair
♠9,♥4,♠3,♠4,♥9 | Two Pairs
