♦6,♥J,♣10,♠2,♥6 | Pair
♥J,♣10,♥K,♥10,♥8 | Pair
♥J,♣10,♦A,♥6,♥10 | Pair
♥J,♣10,♦A,♥Q,♥10 | Pair
♥J,♣10,♦A,♥7,♥10 | Pair
♥J,♣10,♦A,♥7,♣7 | Pair
♥J,♣10,♦A,♥10,♦5 | Pair
♥J,♣10,♦A,♥10,♣7 | Pair
♥J,♣10,♦A,♥10,♦2 | Pair
♥J,♣10,♦A,♥10,♥8 | Pair
♥J,♣10,♥6,♥Q,♥10 | Pair
♥J,♣10,♥6,♥7,♥10 | Pair
♥J,♣10,♥6,♥7,♣7 | Pair
♥J,♣10,♥6,♥10,♦5 | Pair
♥J,♣10,♥6,♥10,♣7 | Pair
♥J,♣10,♥6,♥10,♦2 | Pair
♥J,♣10,♥6,♥10,♥8 | Pair
♥J,♣10,♥Q,♥7,♥10 | Pair
♥J,♣10,♥Q,♥7,♣7 | Pair
♥J,♣10,♥Q,♥10,♦5 | Pair
♥J,♣10,♥Q,♥10,♣7 | Pair
♥J,♣10,♥Q,♥10,♦2 | Pair
♥J,♣10,♥Q,♥10,♥8 | Pair
♥J,♣10,♥7,♥10,♦5 | Pair
♥J,♣10,♥7,♥10,♣7 | Two Pairs
♥J,♣10,♥7,♥10,♦2 | Pair
♥J,♣10,♥7,♥10,♥8 | Pair
♥J,♣10,♥7,♦5,♣7 | Pair
♥J,♣10,♥7,♣7,♦2 | Pair
♥J,♣10,♥7,♣7,♥8 | Pair
♥J,♣10,♥10,♦5,♣7 | Pair
♥J,♣10,♥10,♦5,♦2 | Pair
♥J,♣10,♥10,♦5,♥8 | Pair
♥J,♣10,♥10,♣7,♦2 | Pair
♥J,♣10,♥10,♣7,♥8 | Pair
♥J,♣10,♥10,♦2,♥8 | Pair
♥J,♠2,♠8,♥K,♦2 | Pair
♥J,♠2,♠8,♥K,♥8 | Pair
♥J,♠2,♠8,♦A,♦2 | Pair
♥J,♠2,♠8,♦A,♥8 | Pair
♥J,♠2,♠8,♥6,♦2 | Pair
♥J,♠2,♠8,♥6,♥8 | Pair
♥J,♠2,♠8,♥Q,♦2 | Pair
♥J,♠2,♠8,♥Q,♥8 | Pair
♥J,♠2,♠8,♥7,♣7 | Pair
♥J,♠2,♠8,♥7,♦2 | Pair
♥J,♠2,♠8,♥7,♥8 | Pair
♥J,♠2,♠8,♥10,♦2 | Pair
♥J,♠2,♠8,♥10,♥8 | Pair
♥J,♠2,♠8,♦5,♦2 | Pair
♥J,♠2,♠8,♦5,♥8 | Pair
♥J,♠2,♠8,♣7,♦2 | Pair
♥J,♠2,♠8,♣7,♥8 | Pair
♥J,♠2,♠8,♦2,♥8 | Two Pairs
♥J,♠2,♥K,♦A,♦2 | Pair
♥J,♠2,♥K,♥6,♦2 | Pair
♥J,♠2,♥K,♥Q,♦2 | Pair
♥J,♠2,♥K,♥7,♣7 | Pair
♥J,♠2,♥K,♥7,♦2 | Pair
♥J,♠2,♥K,♥10,♦2 | Pair
♥J,♠2,♥K,♦5,♦2 | Pair
♥J,♠2,♥K,♣7,♦2 | Pair
♥J,♠2,♥K,♦2,♥8 | Pair
♥J,♠2,♦A,♥6,♦2 | Pair
♥J,♠2,♦A,♥Q,♦2 | Pair
♥J,♠2,♦A,♥7,♣7 | Pair
♥J,♠2,♦A,♥7,♦2 | Pair
♥J,♠2,♦A,♥10,♦2 | Pair
♥J,♠2,♦A,♦5,♦2 | Pair
♥J,♠2,♦A,♣7,♦2 | Pair
♥J,♠2,♦A,♦2,♥8 | Pair
♥J,♠2,♥6,♥Q,♦2 | Pair
♥J,♠2,♥6,♥7,♣7 | Pair
♥J,♠2,♥6,♥7,♦2 | Pair
♥J,♠2,♥6,♥10,♦2 | Pair
♥J,♠2,♥6,♦5,♦2 | Pair
♥J,♠2,♥6,♣7,♦2 | Pair
♥J,♠2,♥6,♦2,♥8 | Pair
♥J,♠2,♥Q,♥7,♣7 | Pair
♥J,♠2,♥Q,♥7,♦2 | Pair
♥J,♠2,♥Q,♥10,♦2 | Pair
♥J,♠2,♥Q,♦5,♦2 | Pair
♥J,♠2,♥Q,♣7,♦2 | Pair
♥J,♠2,♥Q,♦2,♥8 | Pair
♥J,♠2,♥7,♥10,♣7 | Pair
♥J,♠2,♥7,♥10,♦2 | Pair
♥J,♠2,♥7,♦5,♣7 | Pair
♥J,♠2,♥7,♦5,♦2 | Pair
♥J,♠2,♥7,♣7,♦2 | Two Pairs
♥J,♠2,♥7,♣7,♥8 | Pair
♥J,♠2,♥7,♦2,♥8 | Pair
♥J,♠2,♥10,♦5,♦2 | Pair
♥J,♠2,♥10,♣7,♦2 | Pair
♥J,♠2,♥10,♦2,♥8 | Pair
♥J,♠2,♦5,♣7,♦2 | Pair
♥J,♠2,♦5,♦2,♥8 | Pair
♥J,♠2,♣7,♦2,♥8 | Pair
♥J,♠8,♥K,♦A,♥8 | Pair
♥J,♠8,♥K,♥6,♥8 | Pair
♥J,♠8,♥K,♥Q,♥8 | Pair
♥J,♠8,♥K,♥7,♣7 | Pair
♥J,♠8,♥K,♥7,♥8 | Pair
♥J,♠8,♥K,♥10,♥8 | Pair
♥J,♠8,♥K,♦5,♥8 | Pair
♥J,♠8,♥K,♣7,♥8 | Pair
♥J,♠8,♥K,♦2,♥8 | Pair
♥J,♠8,♦A,♥6,♥8 | Pair
♥J,♠8,♦A,♥Q,♥8 | Pair
♥J,♠8,♦A,♥7,♣7 | Pair
♥J,♠8,♦A,♥7,♥8 | Pair
♥J,♠8,♦A,♥10,♥8 | Pair
♥J,♠8,♦A,♦5,♥8 | Pair
♥J,♠8,♦A,♣7,♥8 | Pair
♥J,♠8,♦A,♦2,♥8 | Pair
♥J,♠8,♥6,♥Q,♥8 | Pair
♥J,♠8,♥6,♥7,♣7 | Pair
♥J,♠8,♥6,♥7,♥8 | Pair
♥J,♠8,♥6,♥10,♥8 | Pair
♥J,♠8,♥6,♦5,♥8 | Pair
♥J,♠8,♥6,♣7,♥8 | Pair
♥J,♠8,♥6,♦2,♥8 | Pair
♥J,♠8,♥Q,♥7,♣7 | Pair
♥J,♠8,♥Q,♥7,♥8 | Pair
♥J,♠8,♥Q,♥10,♥8 | Pair
♥J,♠8,♥Q,♦5,♥8 | Pair
♥J,♠8,♥Q,♣7,♥8 | Pair
♥J,♠8,♥Q,♦2,♥8 | Pair
♥J,♠8,♥7,♥10,♣7 | Pair
♥J,♠8,♥7,♥10,♥8 | Pair
♥J,♠8,♥7,♦5,♣7 | Pair
♥J,♠8,♥7,♦5,♥8 | Pair
♥J,♠8,♥7,♣7,♦2 | Pair
♥J,♠8,♥7,♣7,♥8 | Two Pairs
♥J,♠8,♥7,♦2,♥8 | Pair
♥J,♠8,♥10,♦5,♥8 | Pair
♥J,♠8,♥10,♣7,♥8 | Pair
♥J,♠8,♥10,♦2,♥8 | Pair
♥J,♠8,♦5,♣7,♥8 | Pair
♥J,♠8,♦5,♦2,♥8 | Pair
♥J,♠8,♣7,♦2,♥8 | Pair
♥J,♥K,♦A,♥Q,♥10 | Straight
♥J,♥K,♦A,♥7,♣7 | Pair
♥J,♥K,♥6,♥Q,♥7 | Flush
♥J,♥K,♥6,♥Q,♥10 | Flush
♥J,♥K,♥6,♥Q,♥8 | Flush
♥J,♥K,♥6,♥7,♥10 | Flush
♥J,♥K,♥6,♥7,♣7 | Pair
♥J,♥K,♥6,♥7,♥8 | Flush
♥J,♥K,♥6,♥10,♥8 | Flush
♥J,♥K,♥Q,♥7,♥10 | Flush
♥J,♥K,♥Q,♥7,♣7 | Pair
♥J,♥K,♥Q,♥7,♥8 | Flush
♥J,♥K,♥Q,♥10,♥8 | Flush
♥J,♥K,♥7,♥10,♣7 | Pair
♥J,♥K,♥7,♥10,♥8 | Flush
♥J,♥K,♥7,♦5,♣7 | Pair
♥J,♥K,♥7,♣7,♦2 | Pair
♥J,♥K,♥7,♣7,♥8 | Pair
♥J,♦A,♥6,♥7,♣7 | Pair
♥J,♦A,♥Q,♥7,♣7 | Pair
♥J,♦A,♥7,♥10,♣7 | Pair
♥J,♦A,♥7,♦5,♣7 | Pair
♥J,♦A,♥7,♣7,♦2 | Pair
♥J,♦A,♥7,♣7,♥8 | Pair
♥J,♥6,♥Q,♥7,♥10 | Flush
♥J,♥6,♥Q,♥7,♣7 | Pair
♥J,♥6,♥Q,♥7,♥8 | Flush
♥J,♥6,♥Q,♥10,♥8 | Flush
♥J,♥6,♥7,♥10,♣7 | Pair
♥J,♥6,♥7,♥10,♥8 | Flush
♥J,♥6,♥7,♦5,♣7 | Pair
♥J,♥6,♥7,♣7,♦2 | Pair
♥J,♥6,♥7,♣7,♥8 | Pair
♥J,♥Q,♥7,♥10,♣7 | Pair
♥J,♥Q,♥7,♥10,♥8 | Flush
♥J,♥Q,♥7,♦5,♣7 | Pair
♥J,♥Q,♥7,♣7,♦2 | Pair
♥J,♥Q,♥7,♣7,♥8 | Pair
♥J,♥7,♥10,♦5,♣7 | Pair
♥J,♥7,♥10,♣7,♦2 | Pair
♥J,♥7,♥10,♣7,♥8 | Pair
♥J,♥7,♦5,♣7,♦2 | Pair
♥J,♥7,♦5,♣7,♥8 | Pair
♥J,♥7,♣7,♦2,♥8 | Pair
♣10,♠2,♠8,♥K,♥10 | Pair
♣10,♠2,♠8,♥K,♦2 | Pair
♣10,♠2,♠8,♥K,♥8 | Pair
♣10,♠2,♠8,♦A,♥10 | Pair
♣10,♠2,♠8,♦A,♦2 | Pair
♣10,♠2,♠8,♦A,♥8 | Pair
♣10,♠2,♠8,♥6,♥10 | Pair
♣10,♠2,♠8,♥6,♦2 | Pair
♣10,♠2,♠8,♥6,♥8 | Pair
♣10,♠2,♠8,♥Q,♥10 | Pair
♣10,♠2,♠8,♥Q,♦2 | Pair
♣10,♠2,♠8,♥Q,♥8 | Pair
♣10,♠2,♠8,♥7,♥10 | Pair
♣10,♠2,♠8,♥7,♣7 | Pair
♣10,♠2,♠8,♥7,♦2 | Pair
♣10,♠2,♠8,♥7,♥8 | Pair
♣10,♠2,♠8,♥10,♦5 | Pair
♣10,♠2,♠8,♥10,♣7 | Pair
♣10,♠2,♠8,♥10,♦2 | Two Pairs
♣10,♠2,♠8,♥10,♥8 | Two Pairs
♣10,♠2,♠8,♦5,♦2 | Pair
♣10,♠2,♠8,♦5,♥8 | Pair
♣10,♠2,♠8,♣7,♦2 | Pair
♣10,♠2,♠8,♣7,♥8 | Pair
♣10,♠2,♠8,♦2,♥8 | Two Pairs
♣10,♠2,♥K,♦A,♥10 | Pair
♣10,♠2,♥K,♦A,♦2 | Pair
♣10,♠2,♥K,♥6,♥10 | Pair
♣10,♠2,♥K,♥6,♦2 | Pair
♣10,♠2,♥K,♥Q,♥10 | Pair
♣10,♠2,♥K,♥Q,♦2 | Pair
♣10,♠2,♥K,♥7,♥10 | Pair
♣10,♠2,♥K,♥7,♣7 | Pair
♣10,♠2,♥K,♥7,♦2 | Pair
♣10,♠2,♥K,♥10,♦5 | Pair
♣10,♠2,♥K,♥10,♣7 | Pair
♣10,♠2,♥K,♥10,♦2 | Two Pairs
♣10,♠2,♥K,♥10,♥8 | Pair
♣10,♠2,♥K,♦5,♦2 | Pair
♣10,♠2,♥K,♣7,♦2 | Pair
♣10,♠2,♥K,♦2,♥8 | Pair
♣10,♠2,♦A,♥6,♥10 | Pair
♣10,♠2,♦A,♥6,♦2 | Pair
♣10,♠2,♦A,♥Q,♥10 | Pair
♣10,♠2,♦A,♥Q,♦2 | Pair
♣10,♠2,♦A,♥7,♥10 | Pair
♣10,♠2,♦A,♥7,♣7 | Pair
♣10,♠2,♦A,♥7,♦2 | Pair
♣10,♠2,♦A,♥10,♦5 | Pair
♣10,♠2,♦A,♥10,♣7 | Pair
♣10,♠2,♦A,♥10,♦2 | Two Pairs
♣10,♠2,♦A,♥10,♥8 | Pair
♣10,♠2,♦A,♦5,♦2 | Pair
♣10,♠2,♦A,♣7,♦2 | Pair
♣10,♠2,♦A,♦2,♥8 | Pair
♣10,♠2,♥6,♥Q,♥10 | Pair
♣10,♠2,♥6,♥Q,♦2 | Pair
♣10,♠2,♥6,♥7,♥10 | Pair
♣10,♠2,♥6,♥7,♣7 | Pair
♣10,♠2,♥6,♥7,♦2 | Pair
♣10,♠2,♥6,♥10,♦5 | Pair
♣10,♠2,♥6,♥10,♣7 | Pair
♣10,♠2,♥6,♥10,♦2 | Two Pairs
♣10,♠2,♥6,♥10,♥8 | Pair
♣10,♠2,♥6,♦5,♦2 | Pair
♣10,♠2,♥6,♣7,♦2 | Pair
♣10,♠2,♥6,♦2,♥8 | Pair
♣10,♠2,♥Q,♥7,♥10 | Pair
♣10,♠2,♥Q,♥7,♣7 | Pair
♣10,♠2,♥Q,♥7,♦2 | Pair
♣10,♠2,♥Q,♥10,♦5 | Pair
♣10,♠2,♥Q,♥10,♣7 | Pair
♣10,♠2,♥Q,♥10,♦2 | Two Pairs
♣10,♠2,♥Q,♥10,♥8 | Pair
♣10,♠2,♥Q,♦5,♦2 | Pair
♣10,♠2,♥Q,♣7,♦2 | Pair
♣10,♠2,♥Q,♦2,♥8 | Pair
♣10,♠2,♥7,♥10,♦5 | Pair
♣10,♠2,♥7,♥10,♣7 | Two Pairs
♣10,♠2,♥7,♥10,♦2 | Two Pairs
♣10,♠2,♥7,♥10,♥8 | Pair
♣10,♠2,♥7,♦5,♣7 | Pair
♣10,♠2,♥7,♦5,♦2 | Pair
♣10,♠2,♥7,♣7,♦2 | Two Pairs
♣10,♠2,♥7,♣7,♥8 | Pair
♣10,♠2,♥7,♦2,♥8 | Pair
♣10,♠2,♥10,♦5,♣7 | Pair
♣10,♠2,♥10,♦5,♦2 | Two Pairs
♣10,♠2,♥10,♦5,♥8 | Pair
♣10,♠2,♥10,♣7,♦2 | Two Pairs
♣10,♠2,♥10,♣7,♥8 | Pair
♣10,♠2,♥10,♦2,♥8 | Two Pairs
♣10,♠2,♦5,♣7,♦2 | Pair
♣10,♠2,♦5,♦2,♥8 | Pair
♣10,♠2,♣7,♦2,♥8 | Pair
♣10,♠8,♥K,♦A,♥10 | Pair
♣10,♠8,♥K,♦A,♥8 | Pair
♣10,♠8,♥K,♥6,♥10 | Pair
♣10,♠8,♥K,♥6,♥8 | Pair
♣10,♠8,♥K,♥Q,♥10 | Pair
♣10,♠8,♥K,♥Q,♥8 | Pair
♣10,♠8,♥K,♥7,♥10 | Pair
♣10,♠8,♥K,♥7,♣7 | Pair
♣10,♠8,♥K,♥7,♥8 | Pair
♣10,♠8,♥K,♥10,♦5 | Pair
♣10,♠8,♥K,♥10,♣7 | Pair
♣10,♠8,♥K,♥10,♦2 | Pair
♣10,♠8,♥K,♥10,♥8 | Two Pairs
♣10,♠8,♥K,♦5,♥8 | Pair
♣10,♠8,♥K,♣7,♥8 | Pair
♣10,♠8,♥K,♦2,♥8 | Pair
♣10,♠8,♦A,♥6,♥10 | Pair
♣10,♠8,♦A,♥6,♥8 | Pair
♣10,♠8,♦A,♥Q,♥10 | Pair
♣10,♠8,♦A,♥Q,♥8 | Pair
♣10,♠8,♦A,♥7,♥10 | Pair
♣10,♠8,♦A,♥7,♣7 | Pair
♣10,♠8,♦A,♥7,♥8 | Pair
♣10,♠8,♦A,♥10,♦5 | Pair
♣10,♠8,♦A,♥10,♣7 | Pair
♣10,♠8,♦A,♥10,♦2 | Pair
♣10,♠8,♦A,♥10,♥8 | Two Pairs
♣10,♠8,♦A,♦5,♥8 | Pair
♣10,♠8,♦A,♣7,♥8 | Pair
♣10,♠8,♦A,♦2,♥8 | Pair
♣10,♠8,♥6,♥Q,♥10 | Pair
♣10,♠8,♥6,♥Q,♥8 | Pair
♣10,♠8,♥6,♥7,♥10 | Pair
♣10,♠8,♥6,♥7,♣7 | Pair
♣10,♠8,♥6,♥7,♥8 | Pair
♣10,♠8,♥6,♥10,♦5 | Pair
♣10,♠8,♥6,♥10,♣7 | Pair
♣10,♠8,♥6,♥10,♦2 | Pair
♣10,♠8,♥6,♥10,♥8 | Two Pairs
♣10,♠8,♥6,♦5,♥8 | Pair
♣10,♠8,♥6,♣7,♥8 | Pair
♣10,♠8,♥6,♦2,♥8 | Pair
♣10,♠8,♥Q,♥7,♥10 | Pair
♣10,♠8,♥Q,♥7,♣7 | Pair
♣10,♠8,♥Q,♥7,♥8 | Pair
♣10,♠8,♥Q,♥10,♦5 | Pair
♣10,♠8,♥Q,♥10,♣7 | Pair
♣10,♠8,♥Q,♥10,♦2 | Pair
♣10,♠8,♥Q,♥10,♥8 | Two Pairs
♣10,♠8,♥Q,♦5,♥8 | Pair
♣10,♠8,♥Q,♣7,♥8 | Pair
♣10,♠8,♥Q,♦2,♥8 | Pair
♣10,♠8,♥7,♥10,♦5 | Pair
♣10,♠8,♥7,♥10,♣7 | Two Pairs
♣10,♠8,♥7,♥10,♦2 | Pair
♣10,♠8,♥7,♥10,♥8 | Two Pairs
♣10,♠8,♥7,♦5,♣7 | Pair
♣10,♠8,♥7,♦5,♥8 | Pair
♣10,♠8,♥7,♣7,♦2 | Pair
♣10,♠8,♥7,♣7,♥8 | Two Pairs
♣10,♠8,♥7,♦2,♥8 | Pair
♣10,♠8,♥10,♦5,♣7 | Pair
♣10,♠8,♥10,♦5,♦2 | Pair
♣10,♠8,♥10,♦5,♥8 | Two Pairs
♣10,♠8,♥10,♣7,♦2 | Pair
♣10,♠8,♥10,♣7,♥8 | Two Pairs
♣10,♠8,♥10,♦2,♥8 | Two Pairs
♣10,♠8,♦5,♣7,♥8 | Pair
♣10,♠8,♦5,♦2,♥8 | Pair
♣10,♠8,♣7,♦2,♥8 | Pair
♣10,♥K,♦A,♥6,♥10 | Pair
♣10,♥K,♦A,♥Q,♥10 | Pair
♣10,♥K,♦A,♥7,♥10 | Pair
♣10,♥K,♦A,♥7,♣7 | Pair
♣10,♥K,♦A,♥10,♦5 | Pair
♣10,♥K,♦A,♥10,♣7 | Pair
♣10,♥K,♦A,♥10,♦2 | Pair
♣10,♥K,♦A,♥10,♥8 | Pair
♣10,♥K,♥6,♥Q,♥10 | Pair
♣10,♥K,♥6,♥7,♥10 | Pair
♣10,♥K,♥6,♥7,♣7 | Pair
♣10,♥K,♥6,♥10,♦5 | Pair
♣10,♥K,♥6,♥10,♣7 | Pair
♣10,♥K,♥6,♥10,♦2 | Pair
♣10,♥K,♥6,♥10,♥8 | Pair
♣10,♥K,♥Q,♥7,♥10 | Pair
♣10,♥K,♥Q,♥7,♣7 | Pair
♣10,♥K,♥Q,♥10,♦5 | Pair
♣10,♥K,♥Q,♥10,♣7 | Pair
♣10,♥K,♥Q,♥10,♦2 | Pair
♣10,♥K,♥Q,♥10,♥8 | Pair
♣10,♥K,♥7,♥10,♦5 | Pair
♣10,♥K,♥7,♥10,♣7 | Two Pairs
♣10,♥K,♥7,♥10,♦2 | Pair
♣10,♥K,♥7,♥10,♥8 | Pair
♣10,♥K,♥7,♦5,♣7 | Pair
♣10,♥K,♥7,♣7,♦2 | Pair
♣10,♥K,♥7,♣7,♥8 | Pair
♣10,♥K,♥10,♦5,♣7 | Pair
♣10,♥K,♥10,♦5,♦2 | Pair
♣10,♥K,♥10,♦5,♥8 | Pair
♣10,♥K,♥10,♣7,♦2 | Pair
♣10,♥K,♥10,♣7,♥8 | Pair
♣10,♥K,♥10,♦2,♥8 | Pair
♣10,♦A,♥6,♥Q,♥10 | Pair
♣10,♦A,♥6,♥7,♥10 | Pair
♣10,♦A,♥6,♥7,♣7 | Pair
♣10,♦A,♥6,♥10,♦5 | Pair
♣10,♦A,♥6,♥10,♣7 | Pair
♣10,♦A,♥6,♥10,♦2 | Pair
♣10,♦A,♥6,♥10,♥8 | Pair
♣10,♦A,♥Q,♥7,♥10 | Pair
♣10,♦A,♥Q,♥7,♣7 | Pair
♣10,♦A,♥Q,♥10,♦5 | Pair
♣10,♦A,♥Q,♥10,♣7 | Pair
♣10,♦A,♥Q,♥10,♦2 | Pair
♣10,♦A,♥Q,♥10,♥8 | Pair
♣10,♦A,♥7,♥10,♦5 | Pair
♣10,♦A,♥7,♥10,♣7 | Two Pairs
♣10,♦A,♥7,♥10,♦2 | Pair
♣10,♦A,♥7,♥10,♥8 | Pair
♣10,♦A,♥7,♦5,♣7 | Pair
♣10,♦A,♥7,♣7,♦2 | Pair
♣10,♦A,♥7,♣7,♥8 | Pair
♣10,♦A,♥10,♦5,♣7 | Pair
♣10,♦A,♥10,♦5,♦2 | Pair
♣10,♦A,♥10,♦5,♥8 | Pair
♣10,♦A,♥10,♣7,♦2 | Pair
♣10,♦A,♥10,♣7,♥8 | Pair
♣10,♦A,♥10,♦2,♥8 | Pair
♣10,♥6,♥Q,♥7,♥10 | Pair
♣10,♥6,♥Q,♥7,♣7 | Pair
♣10,♥6,♥Q,♥10,♦5 | Pair
♣10,♥6,♥Q,♥10,♣7 | Pair
♣10,♥6,♥Q,♥10,♦2 | Pair
♣10,♥6,♥Q,♥10,♥8 | Pair
♣10,♥6,♥7,♥10,♦5 | Pair
♣10,♥6,♥7,♥10,♣7 | Two Pairs
♣10,♥6,♥7,♥10,♦2 | Pair
♣10,♥6,♥7,♥10,♥8 | Pair
♣10,♥6,♥7,♦5,♣7 | Pair
♣10,♥6,♥7,♣7,♦2 | Pair
♣10,♥6,♥7,♣7,♥8 | Pair
♣10,♥6,♥10,♦5,♣7 | Pair
♣10,♥6,♥10,♦5,♦2 | Pair
♣10,♥6,♥10,♦5,♥8 | Pair
♣10,♥6,♥10,♣7,♦2 | Pair
♣10,♥6,♥10,♣7,♥8 | Pair
♣10,♥6,♥10,♦2,♥8 | Pair
♣10,♥Q,♥7,♥10,♦5 | Pair
♣10,♥Q,♥7,♥10,♣7 | Two Pairs
♣10,♥Q,♥7,♥10,♦2 | Pair
♣10,♥Q,♥7,♥10,♥8 | Pair
♣10,♥Q,♥7,♦5,♣7 | Pair
♣10,♥Q,♥7,♣7,♦2 | Pair
♣10,♥Q,♥7,♣7,♥8 | Pair
♣10,♥Q,♥10,♦5,♣7 | Pair
♣10,♥Q,♥10,♦5,♦2 | Pair
♣10,♥Q,♥10,♦5,♥8 | Pair
♣10,♥Q,♥10,♣7,♦2 | Pair
♣10,♥Q,♥10,♣7,♥8 | Pair
♣10,♥Q,♥10,♦2,♥8 | Pair
♣10,♥7,♥10,♦5,♣7 | Two Pairs
♣10,♥7,♥10,♦5,♦2 | Pair
♣10,♥7,♥10,♦5,♥8 | Pair
♣10,♥7,♥10,♣7,♦2 | Two Pairs
♣10,♥7,♥10,♣7,♥8 | Two Pairs
♣10,♥7,♥10,♦2,♥8 | Pair
♣10,♥7,♦5,♣7,♦2 | Pair
♣10,♥7,♦5,♣7,♥8 | Pair
♣10,♥7,♣7,♦2,♥8 | Pair
♣10,♥10,♦5,♣7,♦2 | Pair
♣10,♥10,♦5,♣7,♥8 | Pair
♣10,♥10,♦5,♦2,♥8 | Pair
♣10,♥10,♣7,♦2,♥8 | Pair
♠2,♠8,♥K,♦A,♦2 | Pair
♠2,♠8,♥K,♦A,♥8 | Pair
♠2,♠8,♥K,♥6,♦2 | Pair
♠2,♠8,♥K,♥6,♥8 | Pair
♠2,♠8,♥K,♥Q,♦2 | Pair
♠2,♠8,♥K,♥Q,♥8 | Pair
♠2,♠8,♥K,♥7,♣7 | Pair
♠2,♠8,♥K,♥7,♦2 | Pair
♠2,♠8,♥K,♥7,♥8 | Pair
♠2,♠8,♥K,♥10,♦2 | Pair
♠2,♠8,♥K,♥10,♥8 | Pair
♠2,♠8,♥K,♦5,♦2 | Pair
♠2,♠8,♥K,♦5,♥8 | Pair
♠2,♠8,♥K,♣7,♦2 | Pair
♠2,♠8,♥K,♣7,♥8 | Pair
♠2,♠8,♥K,♦2,♥8 | Two Pairs
♠2,♠8,♦A,♥6,♦2 | Pair
♠2,♠8,♦A,♥6,♥8 | Pair
♠2,♠8,♦A,♥Q,♦2 | Pair
♠2,♠8,♦A,♥Q,♥8 | Pair
♠2,♠8,♦A,♥7,♣7 | Pair
♠2,♠8,♦A,♥7,♦2 | Pair
♠2,♠8,♦A,♥7,♥8 | Pair
♠2,♠8,♦A,♥10,♦2 | Pair
♠2,♠8,♦A,♥10,♥8 | Pair
♠2,♠8,♦A,♦5,♦2 | Pair
♠2,♠8,♦A,♦5,♥8 | Pair
♠2,♠8,♦A,♣7,♦2 | Pair
♠2,♠8,♦A,♣7,♥8 | Pair
♠2,♠8,♦A,♦2,♥8 | Two Pairs
♠2,♠8,♥6,♥Q,♦2 | Pair
♠2,♠8,♥6,♥Q,♥8 | Pair
♠2,♠8,♥6,♥7,♣7 | Pair
♠2,♠8,♥6,♥7,♦2 | Pair
♠2,♠8,♥6,♥7,♥8 | Pair
♠2,♠8,♥6,♥10,♦2 | Pair
♠2,♠8,♥6,♥10,♥8 | Pair
♠2,♠8,♥6,♦5,♦2 | Pair
♠2,♠8,♥6,♦5,♥8 | Pair
♠2,♠8,♥6,♣7,♦2 | Pair
♠2,♠8,♥6,♣7,♥8 | Pair
♠2,♠8,♥6,♦2,♥8 | Two Pairs
♠2,♠8,♥Q,♥7,♣7 | Pair
♠2,♠8,♥Q,♥7,♦2 | Pair
♠2,♠8,♥Q,♥7,♥8 | Pair
♠2,♠8,♥Q,♥10,♦2 | Pair
♠2,♠8,♥Q,♥10,♥8 | Pair
♠2,♠8,♥Q,♦5,♦2 | Pair
♠2,♠8,♥Q,♦5,♥8 | Pair
♠2,♠8,♥Q,♣7,♦2 | Pair
♠2,♠8,♥Q,♣7,♥8 | Pair
♠2,♠8,♥Q,♦2,♥8 | Two Pairs
♠2,♠8,♥7,♥10,♣7 | Pair
♠2,♠8,♥7,♥10,♦2 | Pair
♠2,♠8,♥7,♥10,♥8 | Pair
♠2,♠8,♥7,♦5,♣7 | Pair
♠2,♠8,♥7,♦5,♦2 | Pair
♠2,♠8,♥7,♦5,♥8 | Pair
♠2,♠8,♥7,♣7,♦2 | Two Pairs
♠2,♠8,♥7,♣7,♥8 | Two Pairs
♠2,♠8,♥7,♦2,♥8 | Two Pairs
♠2,♠8,♥10,♦5,♦2 | Pair
♠2,♠8,♥10,♦5,♥8 | Pair
♠2,♠8,♥10,♣7,♦2 | Pair
♠2,♠8,♥10,♣7,♥8 | Pair
♠2,♠8,♥10,♦2,♥8 | Two Pairs
♠2,♠8,♦5,♣7,♦2 | Pair
♠2,♠8,♦5,♣7,♥8 | Pair
♠2,♠8,♦5,♦2,♥8 | Two Pairs
♠2,♠8,♣7,♦2,♥8 | Two Pairs
♠2,♥K,♦A,♥6,♦2 | Pair
♠2,♥K,♦A,♥Q,♦2 | Pair
♠2,♥K,♦A,♥7,♣7 | Pair
♠2,♥K,♦A,♥7,♦2 | Pair
♠2,♥K,♦A,♥10,♦2 | Pair
♠2,♥K,♦A,♦5,♦2 | Pair
♠2,♥K,♦A,♣7,♦2 | Pair
♠2,♥K,♦A,♦2,♥8 | Pair
♠2,♥K,♥6,♥Q,♦2 | Pair
♠2,♥K,♥6,♥7,♣7 | Pair
♠2,♥K,♥6,♥7,♦2 | Pair
♠2,♥K,♥6,♥10,♦2 | Pair
♠2,♥K,♥6,♦5,♦2 | Pair
♠2,♥K,♥6,♣7,♦2 | Pair
♠2,♥K,♥6,♦2,♥8 | Pair
♠2,♥K,♥Q,♥7,♣7 | Pair
♠2,♥K,♥Q,♥7,♦2 | Pair
♠2,♥K,♥Q,♥10,♦2 | Pair
♠2,♥K,♥Q,♦5,♦2 | Pair
♠2,♥K,♥Q,♣7,♦2 | Pair
♠2,♥K,♥Q,♦2,♥8 | Pair
♠2,♥K,♥7,♥10,♣7 | Pair
♠2,♥K,♥7,♥10,♦2 | Pair
♠2,♥K,♥7,♦5,♣7 | Pair
♠2,♥K,♥7,♦5,♦2 | Pair
