♥8,♦10,♥10,♠6,♥9 | Pair
♥10,♣6,♣10,♦A,♠3 | Pair
♥10,♣6,♣10,♣K,♠3 | Pair
♥10,♥K,♣10,♣2,♦A | Pair
♥10,♥K,♣10,♣2,♣K | Two Pairs
♥10,♥K,♣10,♣2,♠3 | Pair
♥10,♥K,♣10,♦A,♣K | Two Pairs
♥10,♥K,♣10,♦A,♠3 | Pair
♥10,♥K,♣10,♣K,♠3 | Two Pairs
♥10,♥K,♣2,♦A,♣K | Pair
♥10,♥K,♣2,♣K,♠3 | Pair
♥10,♥K,♦A,♣K,♠3 | Pair
♥10,♣10,♣2,♦A,♣K | Pair
♥10,♣10,♣2,♦A,♠3 | Pair
♥10,♣10,♣2,♣K,♠3 | Pair
♥10,♣10,♦A,♣K,♠3 | Pair
♠6,♥9,♣J,♣6,♥K | Pair
♠6,♥9,♣J,♣6,♣10 | Pair
♠6,♥9,♣J,♣6,♣2 | Pair
♠6,♥9,♣J,♣6,♦A | Pair
♠6,♥9,♣J,♣6,♣K | Pair
♠6,♥9,♣J,♣6,♠3 | Pair
♠6,♥9,♣J,♥K,♣K | Pair
♠6,♥9,♣6,♥K,♣10 | Pair
♠6,♥9,♣6,♥K,♣2 | Pair
♠6,♥9,♣6,♥K,♦A | Pair
♠6,♥9,♣6,♥K,♣K | Two Pairs
♠6,♥9,♣6,♥K,♠3 | Pair
♠6,♥9,♣6,♣10,♣2 | Pair
♠6,♥9,♣6,♣10,♦A | Pair
♠6,♥9,♣6,♣10,♣K | Pair
♠6,♥9,♣6,♣10,♠3 | Pair
♠6,♥9,♣6,♣2,♦A | Pair
♠6,♥9,♣6,♣2,♣K | Pair
♠6,♥9,♣6,♣2,♠3 | Pair
♠6,♥9,♣6,♦A,♣K | Pair
♠6,♥9,♣6,♦A,♠3 | Pair
♠6,♥9,♣6,♣K,♠3 | Pair
♠6,♥9,♥K,♣10,♣K | Pair
♠6,♥9,♥K,♣2,♣K | Pair
♠6,♥9,♥K,♦A,♣K | Pair
♠6,♥9,♥K,♣K,♠3 | Pair
♠6,♣J,♣6,♥K,♣10 | Pair
♠6,♣J,♣6,♥K,♣2 | Pair
♠6,♣J,♣6,♥K,♦A | Pair
♠6,♣J,♣6,♥K,♣K | Two Pairs
♠6,♣J,♣6,♥K,♠3 | Pair
♠6,♣J,♣6,♣10,♣2 | Pair
♠6,♣J,♣6,♣10,♦A | Pair
♠6,♣J,♣6,♣10,♣K | Pair
♠6,♣J,♣6,♣10,♠3 | Pair
♠6,♣J,♣6,♣2,♦A | Pair
♠6,♣J,♣6,♣2,♣K | Pair
♠6,♣J,♣6,♣2,♠3 | Pair
♠6,♣J,♣6,♦A,♣K | Pair
♠6,♣J,♣6,♦A,♠3 | Pair
♠6,♣J,♣6,♣K,♠3 | Pair
♠6,♣J,♥K,♣10,♣K | Pair
♠6,♣J,♥K,♣2,♣K | Pair
♠6,♣J,♥K,♦A,♣K | Pair
♠6,♣J,♥K,♣K,♠3 | Pair
♠6,♣6,♥K,♣10,♣2 | Pair
♠6,♣6,♥K,♣10,♦A | Pair
♠6,♣6,♥K,♣10,♣K | Two Pairs
♠6,♣6,♥K,♣10,♠3 | Pair
♠6,♣6,♥K,♣2,♦A | Pair
♠6,♣6,♥K,♣2,♣K | Two Pairs
♠6,♣6,♥K,♣2,♠3 | Pair
♠6,♣6,♥K,♦A,♣K | Two Pairs
♠6,♣6,♥K,♦A,♠3 | Pair
♠6,♣6,♥K,♣K,♠3 | Two Pairs
♠6,♣6,♣10,♣2,♦A | Pair
♠6,♣6,♣10,♣2,♣K | Pair
♠6,♣6,♣10,♣2,♠3 | Pair
♠6,♣6,♣10,♦A,♣K | Pair
♠6,♣6,♣10,♦A,♠3 | Pair
♠6,♣6,♣10,♣K,♠3 | Pair
♠6,♣6,♣2,♦A,♣K | Pair
♠6,♣6,♣2,♦A,♠3 | Pair
♠6,♣6,♣2,♣K,♠3 | Pair
♠6,♣6,♦A,♣K,♠3 | Pair
♠6,♥K,♣10,♣2,♣K | Pair
♠6,♥K,♣10,♦A,♣K | Pair
♠6,♥K,♣10,♣K,♠3 | Pair
♠6,♥K,♣2,♦A,♣K | Pair
♠6,♥K,♣2,♣K,♠3 | Pair
♠6,♥K,♦A,♣K,♠3 | Pair
♥9,♣J,♣6,♥K,♣K | Pair
♥9,♣J,♥K,♣10,♣K | Pair
♥9,♣J,♥K,♣2,♣K | Pair
♥9,♣J,♥K,♦A,♣K | Pair
♥9,♣J,♥K,♣K,♠3 | Pair
♥9,♣6,♥K,♣10,♣K | Pair
♥9,♣6,♥K,♣2,♣K | Pair
♥9,♣6,♥K,♦A,♣K | Pair
♥9,♣6,♥K,♣K,♠3 | Pair
♥9,♥K,♣10,♣2,♣K | Pair
♥9,♥K,♣10,♦A,♣K | Pair
♥9,♥K,♣10,♣K,♠3 | Pair
♥9,♥K,♣2,♦A,♣K | Pair
♥9,♥K,♣2,♣K,♠3 | Pair
♥9,♥K,♦A,♣K,♠3 | Pair
♣J,♣6,♥K,♣10,♣K | Pair
♣J,♣6,♥K,♣2,♣K | Pair
♣J,♣6,♥K,♦A,♣K | Pair
♣J,♣6,♥K,♣K,♠3 | Pair
♣J,♣6,♣10,♣2,♣K | Flush
♣J,♥K,♣10,♣2,♣K | Pair
♣J,♥K,♣10,♦A,♣K | Pair
♣J,♥K,♣10,♣K,♠3 | Pair
♣J,♥K,♣2,♦A,♣K | Pair
♣J,♥K,♣2,♣K,♠3 | Pair
♣J,♥K,♦A,♣K,♠3 | Pair
♣6,♥K,♣10,♣2,♣K | Pair
♣6,♥K,♣10,♦A,♣K | Pair
♣6,♥K,♣10,♣K,♠3 | Pair
♣6,♥K,♣2,♦A,♣K | Pair
♣6,♥K,♣2,♣K,♠3 | Pair
♣6,♥K,♦A,♣K,♠3 | Pair
♥K,♣10,♣2,♦A,♣K | Pair
♥K,♣10,♣2,♣K,♠3 | Pair
♥K,♣10,♦A,♣K,♠3 | Pair
♥K,♣2,♦A,♣K,♠3 | Pair
