♠4,♠2,♥A,♠6,♦6 | Pair
♦9,♣3,♠9,♣5,♣6 | Pair
♦9,♣3,♠9,♣5,♥8 | Pair
♦9,♣3,♠9,♣6,♥8 | Pair
♦9,♦6,♠9,♣5,♣6 | Two Pairs
♦9,♦6,♠9,♣5,♥8 | Pair
♦9,♦6,♠9,♣6,♥8 | Two Pairs
♦9,♦6,♣5,♣6,♥8 | Pair
♦9,♠9,♣5,♣6,♥8 | Pair
♥7,♣3,♦6,♠9,♣6 | Pair
♥7,♣3,♦6,♣5,♣6 | Pair
♥7,♣3,♦6,♣6,♥8 | Pair
♥7,♦6,♠9,♣5,♣6 | Pair
♥7,♦6,♠9,♣5,♥8 | Straight
♥7,♦6,♠9,♣6,♥8 | Pair
♥7,♦6,♣5,♣6,♥8 | Pair
♥7,♠9,♣5,♣6,♥8 | Straight
♣3,♦6,♠9,♣5,♣6 | Pair
♣3,♦6,♠9,♣6,♥8 | Pair
♣3,♦6,♣5,♣6,♥8 | Pair
♦6,♠9,♣5,♣6,♥8 | Pair
